LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithDial_upInternetSubscriptionAlone,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithABroadbandInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithoutAnInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_NoComputer,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithDial_upInternetSubscriptionAlone,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithABroadbandInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithoutAnInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_NoComputer,BachelorsDegreeOrHigher_HasAComputer_WithDial_upInternetSubscriptionAlone,BachelorsDegreeOrHigher_HasAComputer_WithABroadbandInternetSubscription,BachelorsDegreeOrHigher_HasAComputer_WithoutAnInternetSubscription,BachelorsDegreeOrHigher_NoComputer,stateId
0,47150,6553,7184,79,262213,14455,9208,127,213714,3746,1089,FL-14
50,47915,3515,4505,216,330183,29458,16058,247,203189,9461,3035,FL-16
307,51088,7818,7391,357,306173,26826,10294,135,135206,6512,2358,FL-15
273,40412,6129,4588,614,322170,32791,16657,138,164357,3948,1458,FL-12
25,35572,7508,7364,407,256007,30075,15643,141,117739,4655,1597,FL-02
152,46181,12217,7415,832,267468,21219,14894,441,203933,10327,4607,FL-21
0,41643,4567,5357,493,272050,24653,9297,0,145613,5528,1289,GA-13
464,33359,11145,19231,990,211334,34875,31351,39,73084,4072,3430,GA-02
0,60285,10752,15352,640,264066,21360,17391,364,84782,2428,1867,GA-14
86,38270,12741,13506,291,232342,35159,21361,96,95108,6770,2796,GA-12
334,42227,3461,4827,1662,351980,23496,18843,747,161687,5246,2691,ID-01
104,23505,3625,5539,292,256638,16216,17774,359,136868,4176,3611,HI-02
162,16637,2469,5906,865,237482,22702,22061,311,153068,5102,3028,IL-18
199,23491,1615,2354,442,234271,7746,7447,74,204239,2090,1758,IL-14
202,29638,3764,5910,288,276042,18024,21425,135,106583,3533,1303,IL-16
77,32098,4383,9539,1679,251838,23248,29112,224,84895,3232,2816,IL-17
129,45873,5857,5612,510,228880,17845,20786,169,141086,5357,3775,IL-03
43,43038,6848,5782,161,212543,13252,11167,0,170887,4354,1992,IL-11
211,23348,4736,10708,945,271101,19378,27842,341,92413,4475,2134,IL-15
95,39661,5434,12849,1069,253758,25097,22076,272,98623,4791,2603,IN-02
721,33656,5916,11201,1895,273325,22761,25068,123,99384,3478,1952,IN-06
28,34873,5623,18125,1214,264718,20972,21286,177,114014,3087,3355,IN-03
124,32729,6227,7307,1764,267205,24444,16680,416,123305,5501,2655,IN-04
158,28472,2456,6686,2398,269756,24740,29227,371,114872,7505,3630,IA-04
187,28172,4170,7080,902,273026,26363,19751,397,187146,7792,4308,IA-03
63,32395,4806,4428,529,243432,23731,16468,15,134836,3510,3745,KS-04
431,42948,6833,11809,947,285711,25780,21555,205,109332,1787,2240,KY-02
123,32314,3655,6552,674,251612,16386,19227,128,167039,6081,3209,KY-03
79,32444,8404,10647,967,261050,24745,18504,581,143635,4222,1692,KY-04
70,41197,5385,8892,570,273637,19375,14813,281,152695,4011,2333,LA-06
156,45945,8528,18512,477,274732,19374,26592,47,116756,2226,2704,LA-03
181,27534,4979,5609,462,216905,12812,12409,80,251223,3865,3476,MA-06
0,36253,7303,7509,538,240566,13099,15657,76,196913,3937,3930,MA-03
136,26806,5612,5696,1019,268721,19341,23153,110,125334,4393,2569,MI-07
104,30804,6890,6230,1155,247409,22717,22302,129,127907,6497,2449,MI-06
129,31732,3398,5330,1141,300024,17494,18366,79,121566,2970,2533,MI-10
84,25303,3802,9034,1708,269859,23245,26096,432,106412,4208,1722,MI-04
0,18114,1377,2886,455,223123,7733,9815,506,250160,4288,2436,MI-11
206,31962,2720,5493,373,225992,18109,12377,215,152858,5330,1917,MI-12
164,18265,1656,2617,693,233409,13252,10191,175,191053,2992,1259,MN-02
72,19149,2799,6108,1899,271138,22665,22944,552,108124,5107,2283,MN-08
88,28991,1404,3815,1152,199160,11569,15156,10,208107,5174,2725,MN-04
69,36806,9431,3507,174,240315,18969,11270,91,219610,6320,1736,AZ-09
113,36917,10015,17263,952,262758,38599,28812,209,70445,5337,2703,AR-01
110,34054,8780,15684,697,253994,36583,35357,23,76613,4618,3179,AR-04
103,113307,12775,11183,387,209767,16276,10621,195,55038,2465,994,CA-16
44,75735,14365,7665,44,175412,21430,10359,97,198677,6367,2338,CA-37
38,44033,1477,3288,264,259177,7564,6283,0,217040,3674,1829,CA-53
0,62881,13346,5105,542,235265,21192,9752,35,119110,4873,2102,CA-31
36,46186,7703,12694,317,293805,25922,17700,32,120722,5139,1787,TN-04
202,23102,3717,10784,1372,240877,20915,25057,131,120980,6707,3389,NY-23
63,45698,11717,13609,118,186070,23527,14925,58,195903,7706,3572,NY-16
44,49535,8164,8008,1750,213772,17116,15920,799,181560,8238,4781,NY-11
189,93595,16544,18196,229,206812,22979,16548,227,60537,3524,1399,NY-15
0,48444,7831,14835,255,230687,20687,19496,321,180710,5116,6178,NY-08
44,22288,3612,6712,44,100235,7973,6856,111,403604,7849,4480,NY-12
63,29093,3138,6321,674,232032,10273,14047,149,168137,2633,2905,NY-18
0,48000,8715,15918,268,219348,31912,28520,49,137656,8141,3359,NC-01
201,42373,8301,9619,484,287336,28202,25615,231,152004,6336,2456,NC-07
0,34739,6296,8650,251,275491,21877,16302,84,222264,4831,1512,NC-02
0,50053,10466,15554,508,263671,34241,27188,0,126296,7445,4326,NC-06
155,33937,6678,9794,512,273933,26283,17199,180,121308,4072,1510,NC-03
0,44653,8776,12406,710,278091,27700,24759,325,134423,3974,3799,NC-10
9,30522,3905,4205,1064,190666,11425,7305,83,315520,6840,1398,NC-04
141,42127,8886,14481,1386,259842,27563,23416,167,135419,3846,1577,NC-05
112,26138,3106,7817,424,233420,12720,13046,113,180211,5141,1804,OH-01
16,41579,9714,15315,2417,288758,26104,27062,315,140213,4762,4264,NC-11
81,37730,4823,9782,1508,286250,17591,21385,276,139735,3823,3603,NC-08
0,49278,6736,10184,0,250733,16921,11043,0,239017,5641,3077,NC-12
32,30544,7108,20013,1149,272561,28928,25136,115,98146,4289,1660,OH-07
88,20204,4997,14216,1188,249626,20813,17947,224,164311,3645,3356,OH-14
47,45043,6160,9038,381,267824,18940,15766,125,149926,3586,2333,OH-03
0,27397,5229,7911,295,256388,15094,20138,0,146474,3248,2321,OH-10
166,21666,3651,6009,994,276708,16846,20112,163,130823,3962,1912,OH-05
176,31438,4268,9232,789,274666,22339,26427,72,107869,4601,3746,OH-13
76,28044,4627,7332,835,259124,17496,15820,159,180185,2731,2781,OH-15
376,38093,8939,9743,942,249411,24691,22180,46,105461,3802,2793,OH-09
150,24027,3474,4615,438,244967,12326,13398,296,221803,2990,2257,OH-12
218,36848,11374,15889,1274,259277,46523,31068,190,77963,6015,3199,OK-02
18,40716,7314,5983,566,264210,32267,20231,52,110826,5238,3791,OK-03
9,34674,6472,7694,177,282492,25153,16509,0,125635,4186,2406,OK-04
0,34757,2510,2583,1026,280562,18466,9516,300,236766,5365,2095,OR-01
150,45427,6960,3672,726,295947,21791,14168,251,175416,5819,2610,OR-05
0,41966,9405,5337,1840,315032,29721,19935,232,152687,4165,2855,OR-02
126,23887,2025,4137,235,184794,8844,13255,147,128937,2815,2463,RI-02
185,26196,9106,6284,464,242841,43370,11760,421,219472,14147,2577,SC-01
119,39532,8267,12735,423,244072,16249,16535,70,164310,5415,2183,SC-04
38,35241,8148,10230,958,273345,24998,16529,0,127093,4421,2667,SC-05
