InTheCivilianLaborForce_Employed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Employed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Employed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Employed_NoComputer,InTheCivilianLaborForce_Unemployed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Unemployed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Unemployed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Unemployed_NoComputer,NotInLaborForce_HasAComputer_WithDial_upInternetSubscriptionAlone,NotInLaborForce_HasAComputer_WithABroadbandInternetSubscription,NotInLaborForce_HasAComputer_WithoutAnInternetSubscription,NotInLaborForce_NoComputer,stateId
337,305541,13604,7220,0,11715,1897,239,1066,171228,16641,24425,MI-07
441,307038,25060,9539,344,11946,1509,1179,1012,164234,20029,22635,MI-06
370,324913,13207,5276,0,15884,988,522,1007,183742,12650,21756,MI-10
821,273015,19156,8762,0,13064,1514,401,1561,181084,20604,29922,MI-04
535,373422,7204,3257,49,11047,203,313,545,177035,7162,11619,MI-11
253,318096,18255,4758,0,11811,2078,52,541,168589,16234,15280,MI-12
329,377160,11869,4249,0,12831,298,98,703,124376,7976,9825,MN-02
828,298287,17727,6366,35,10239,979,684,1713,149660,15794,24941,MN-08
204,351542,11982,5699,0,11351,624,101,1046,144255,8763,16382,MN-04
155,415083,24096,5698,0,18894,1194,437,179,160766,16865,11151,AZ-09
299,254432,31064,11742,76,15527,3009,1612,930,163099,27907,37731,AR-01
358,246054,29252,14061,0,11781,927,949,487,168909,28257,41907,AR-04
337,269342,15249,6754,0,27342,1721,1071,506,173296,18925,16367,CA-16
57,356476,29892,4991,0,15540,1538,430,128,149990,19060,15232,CA-37
207,392520,7806,2559,0,25295,360,115,95,172680,5919,8260,CA-53
299,321098,24815,4330,43,16595,1988,190,346,163315,21198,13536,CA-31
79,352927,27826,7120,0,15048,771,615,306,178624,18569,25289,TN-04
567,276758,18054,10610,0,12163,1204,831,1165,160943,16614,31353,NY-23
0,316948,25074,6267,0,18072,1317,866,239,166338,21077,26492,NY-16
999,320770,20554,4966,0,13244,606,352,1594,177152,19409,24315,NY-11
430,258886,19939,7184,0,28048,2172,1378,215,161166,29456,30539,NY-15
0,340777,14635,9382,0,14645,1519,1166,576,175312,22881,31619,NY-08
44,427923,10432,2364,0,11156,249,582,155,139268,10782,15333,NY-12
156,336324,7680,7983,0,10052,129,289,730,161173,9448,17768,NY-18
0,304539,30114,12079,0,16753,2161,1280,317,156889,25210,36618,NC-01
130,326562,25054,9358,0,12869,1494,378,786,218120,22260,28382,NC-07
112,398421,21238,5955,0,21329,2468,543,223,195488,13960,20330,NC-02
82,317033,32496,13067,0,12902,1428,1092,426,179694,25778,35053,NC-06
220,286730,23056,6671,0,16372,1064,939,627,185117,17329,21818,NC-03
461,324909,22119,8495,0,15277,2018,1072,629,184965,21578,32967,NC-10
