Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
1326,162,5368,72,2740,556,4905,158,4048,53,1932,583,2119,344,1090,33,210,0,MA-01
2515,0,5667,53,3509,904,5202,762,3876,1292,2712,544,857,163,676,0,193,0,MA-05
,,,,,,,,,,,,,,,,,,MI-01
1930,0,3550,906,2648,406,2020,266,3692,746,1294,674,907,41,724,224,22,0,MI-02
,,,,,,,,,,,,,,,,,,MI-14
1219,136,4653,318,718,785,1488,1367,1400,584,1162,305,673,407,561,0,0,0,MI-03
,,,,,,,,,,,,,,,,,,MI-05
1984,0,5467,360,1072,573,1440,1343,2343,1874,1632,720,539,210,327,0,399,0,MI-13
,,,,,,,,,,,,,,,,,,MI-09
245,0,577,91,460,47,295,333,226,106,174,58,472,0,213,0,177,0,MI-08
1050,117,1515,613,1032,640,1331,340,1013,799,340,460,495,73,118,0,43,0,MN-07
,,,,,,,,,,,,,,,,,,MN-06
746,153,2305,993,1236,835,1443,942,1323,458,884,464,463,0,191,0,80,0,MN-01
695,415,1320,213,1504,347,1309,173,544,464,730,504,337,0,257,0,80,0,MN-03
3387,0,8198,539,2980,695,3894,1219,2720,3146,2877,1752,1024,779,738,20,68,74,MN-05
1102,0,2275,306,2735,501,1304,586,883,1131,774,1174,1370,932,316,42,111,0,NC-13
2247,208,7840,832,1568,459,1002,800,3122,1878,951,937,743,260,245,67,115,0,NC-09
,,,,,,,,,,,,,,,,,,ND-00
,,,,,,,,,,,,,,,,,,OH-02
,,,,,,,,,,,,,,,,,,OH-06
,,,,,,,,,,,,,,,,,,OH-04
,,,,,,,,,,,,,,,,,,OH-16
,,,,,,,,,,,,,,,,,,OH-11
,,,,,,,,,,,,,,,,,,OH-08
1469,321,4918,1418,974,839,1600,1642,1320,1600,1119,1297,1205,159,656,0,538,104,OK-01
2597,178,5029,984,1100,1717,2300,1328,2089,1323,1146,1321,1471,805,449,0,381,0,OK-05
2092,44,4527,165,2467,236,3074,1297,1598,1458,1880,967,1224,579,462,0,0,0,OR-03
1591,33,5925,0,2659,292,2003,1136,3694,780,2462,48,926,62,632,0,108,0,OR-04
3616,0,10113,419,3331,662,5164,1058,4351,841,3512,124,2251,430,1728,0,907,90,RI-01
1115,0,2733,1045,764,112,1043,1005,1278,944,684,403,631,695,225,0,0,0,SC-03
,,,,,,,,,,,,,,,,,,SC-07
1465,729,4940,2056,917,1780,1532,2362,1821,3071,1272,1352,738,903,297,0,0,69,SC-06
1022,0,1392,1309,657,732,183,640,297,1163,554,301,43,306,45,0,0,0,TN-03
,,,,,,,,,,,,,,,,,,AL-01
,,,,,,,,,,,,,,,,,,AL-03
,,,,,,,,,,,,,,,,,,AL-05
1639,401,4914,1092,943,776,2518,1710,964,1345,790,1212,830,164,334,158,170,0,AL-04
,,,,,,,,,,,,,,,,,,AL-07
680,529,1659,556,570,357,611,371,990,833,595,686,409,0,440,0,91,0,AL-02
,,,,,,,,,,,,,,,,,,AL-06
952,107,2898,311,1219,271,1304,670,1175,296,1492,131,953,24,191,0,16,0,AK-00
1830,33,5297,1407,2241,413,3082,897,3298,1329,3147,1499,3051,491,1645,0,1396,0,AZ-01
6853,201,11985,1919,7318,2038,10261,3861,7218,2368,7051,1736,6946,788,2953,507,2015,0,AZ-03
1256,221,3646,423,2270,1072,2321,510,4162,993,1855,1097,1690,631,545,0,459,0,AZ-05
1083,429,6395,704,2746,1476,3843,672,2393,1089,3376,1357,1891,742,2221,0,783,0,AZ-04
5488,753,15123,1898,4585,2822,6759,2965,6915,2793,6739,2972,3874,1289,3259,0,1295,0,AZ-07
2121,0,4784,994,2179,1840,4014,1563,4630,245,2170,1385,1608,783,2130,0,459,0,AZ-02
1289,0,3900,699,1862,1348,2914,1089,2323,961,2363,1604,1462,488,578,0,981,0,AZ-06
1584,522,4370,63,2565,304,3409,407,3722,626,2841,303,1520,914,1215,0,771,0,AZ-08
