Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
5954,56,8219,0,4584,666,2681,292,4471,314,1779,160,1428,316,733,42,797,0,CT-01
2828,0,6585,0,1410,78,2351,65,1988,288,1079,0,1223,671,1031,0,436,0,CT-02
2723,0,6648,90,2849,0,2820,194,1532,533,1777,178,2131,0,890,0,527,0,CT-03
4607,405,7066,1121,2345,194,1633,274,2713,1499,2096,57,1009,508,278,51,288,0,CT-04
5367,0,7351,680,2512,249,4493,1112,1980,491,2077,0,1101,0,576,0,478,0,CT-05
5030,200,10503,609,3669,499,2815,580,1801,262,1990,86,739,54,776,0,344,0,DE-00
6742,569,13132,1040,2266,834,4336,2537,2607,1338,1075,1188,2472,396,902,47,688,0,FL-01
3330,361,4095,304,1272,131,1701,606,607,0,1436,453,1564,0,894,0,158,0,FL-02
4234,454,7539,930,3365,1063,1742,779,1787,626,1126,0,971,123,314,0,415,0,FL-03
5008,0,10211,518,3090,103,3524,632,1829,174,929,236,927,66,1125,337,609,37,FL-04
3859,143,5450,190,1717,194,2096,384,1189,630,835,240,345,113,689,0,1131,0,FL-05
3057,46,6615,733,1038,837,1045,1247,998,302,765,391,1135,194,823,0,782,0,FL-06
3491,0,6638,221,2499,1404,2501,592,1533,525,1458,0,1819,488,400,0,130,0,FL-07
3593,554,8643,954,3491,1016,2937,1403,1860,1077,785,220,1415,137,810,158,544,0,FL-08
5328,0,6295,425,1564,555,3700,451,1889,388,1472,1116,1354,289,1213,0,1662,0,FL-09
6756,0,6813,201,2871,1202,2823,907,3470,379,3093,473,1784,424,1235,0,195,227,FL-10
1464,132,6055,787,1473,866,685,598,1279,539,1143,38,904,357,1670,0,1467,0,FL-11
5280,24,10529,254,2460,731,1474,405,2606,230,2030,235,639,214,576,0,494,0,FL-12
5435,151,7505,284,2106,304,2480,825,1174,564,1910,175,1617,379,810,0,847,0,FL-13
5202,227,8728,374,2839,313,2646,1670,3848,971,2747,700,856,991,1014,0,435,0,FL-14
2741,70,6961,91,1718,345,2095,585,1404,191,2035,0,947,10,791,0,451,0,FL-15
2706,57,5065,422,1627,323,2067,630,1424,1000,1346,94,1089,0,1053,0,494,72,FL-16
1602,125,6009,220,1395,88,843,275,224,522,1559,58,476,0,551,0,624,0,FL-17
5116,0,7293,117,1057,884,967,823,1881,237,1075,352,1281,98,794,0,597,79,FL-18
4389,200,5576,956,2112,1205,1574,1966,2024,1157,2779,344,1639,1228,969,0,554,0,FL-20
3355,71,6673,213,2059,378,2439,1646,1459,123,1005,165,924,286,693,0,174,0,FL-21
4190,66,3528,281,1520,757,800,136,2144,706,1678,434,991,302,728,0,370,0,FL-22
5298,68,5535,611,1771,120,2325,714,2771,1370,1897,395,1868,302,1169,0,751,0,FL-23
2817,35,3760,373,1379,395,2475,408,1683,472,1512,628,1250,40,1137,0,586,0,FL-24
950,130,2118,334,566,0,651,195,625,157,1334,330,1365,301,318,0,426,0,FL-25
3614,0,4660,309,651,149,1212,767,606,133,1651,333,2059,307,773,0,684,0,FL-26
1706,0,2722,245,1468,235,1165,575,1531,0,2195,98,1657,122,932,0,734,0,FL-27
3265,166,6288,1350,1309,322,1679,621,1374,675,831,100,498,133,1078,0,190,0,GA-01
3115,109,3397,302,578,594,1205,309,368,562,593,171,483,25,555,0,174,61,GA-02
2343,30,4986,76,1167,210,1005,921,1386,481,808,255,631,52,370,0,508,0,GA-03
2118,0,6805,0,1174,653,1374,697,2413,273,1072,216,967,0,797,0,365,0,GA-04
2911,0,3764,0,1842,815,2818,735,2131,264,809,341,866,188,584,0,97,0,GA-05
3823,0,6574,1009,1700,876,2945,875,1981,129,1410,247,953,243,467,417,502,0,GA-06
4085,207,7021,369,1967,1032,2809,780,2747,954,1580,237,1687,138,734,0,214,0,GA-07
3415,124,5467,716,1860,0,1963,120,1448,312,943,0,283,123,230,0,73,0,GA-08
2187,244,4493,758,983,678,1138,169,1192,127,754,340,1273,0,916,0,442,0,GA-09
4349,58,7661,174,2317,302,2117,215,794,109,820,88,174,26,401,0,188,0,GA-10
