Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
12515,582,39197,774,28980,662,28724,1489,32657,1761,43718,1220,57559,1489,44241,79,35661,0,NJ-12
11470,230,24228,1484,15024,1066,26536,3018,26519,2035,28630,2735,43931,2286,42664,107,29113,0,NM-01
10697,315,28383,1059,11765,1370,22292,2811,25715,1733,26286,2523,40124,3407,45106,0,28998,0,NM-03
20575,179,55637,1129,36366,1303,42397,1278,39363,978,61468,1551,71055,1270,46160,369,39349,66,NY-02
25272,391,61649,831,41590,1839,56981,2856,53755,1971,60078,1712,75469,1942,59860,45,43377,87,NY-25
22668,189,63828,998,34694,687,37927,958,42995,1624,63827,1079,83263,2130,61456,241,60392,97,NY-03
36142,446,55534,1177,37267,1536,70664,2122,56202,2757,50417,2657,50587,1055,47429,492,33335,113,NY-10
5048,44,9865,206,13095,1078,27707,2655,16551,1106,13244,869,11047,489,7675,43,5605,0,NY-13
24056,99,55433,650,40728,979,62135,4242,51792,1435,54203,2522,73736,2614,55489,236,42019,28,NY-26
16980,161,31412,618,17661,884,38616,3131,31553,1811,23431,1284,23401,1686,22939,0,14381,19,NY-09
22372,415,70030,1170,38515,1981,43927,3268,51651,3073,72629,2253,82377,2437,64669,270,46050,122,NY-01
20838,446,30672,666,19076,938,49495,3406,36362,1560,21190,933,12983,758,12720,125,8406,0,NY-07
32555,57,71594,1344,34306,1256,38926,2174,43494,625,53146,2196,63254,1126,47273,167,41585,0,NY-17
14020,181,25131,137,12485,656,25137,1260,24337,1623,27625,1965,36847,918,28731,0,28429,29,NY-06
5131,70,13074,211,4986,88,5491,143,6435,506,8564,254,10302,387,12651,96,9668,0,NY-05
