Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
1299,7,2379,172,3309,334,1303,286,1353,329,1315,208,1548,155,956,0,931,0,KS-01
5257,196,11497,1658,6628,369,6154,1783,8619,1031,5569,1613,6347,1197,4366,0,2704,21,KS-03
2771,25,4044,327,5394,843,2327,598,1718,377,3263,320,3024,522,3668,0,897,0,KS-02
5497,111,12078,952,7547,524,6707,293,6490,1518,6301,1460,9122,855,6080,224,2316,0,KY-06
3039,299,7609,226,4133,888,3417,1095,5653,488,5703,199,6651,95,5706,0,1602,0,KY-01
,,,,,,,,,,,,,,,,,,KY-05
20625,830,42757,2467,21980,2951,23218,4073,23226,4845,27521,2494,27734,2149,21137,128,11973,0,LA-04
37800,1038,83699,1945,38127,7004,51030,13118,49726,8334,45291,7293,60547,5529,44377,251,23353,67,LA-02
8988,0,27550,236,13054,496,11171,2214,12142,2990,10137,617,9722,517,6393,0,3394,19,LA-01
21382,791,48978,1324,20816,4741,21941,5100,24723,3889,21090,3446,24974,3099,17698,214,10340,28,LA-05
,,,,,,,,,,,,,,,,,,ME-01
,,,,,,,,,,,,,,,,,,ME-02
5106,31,16802,699,7951,873,9186,1097,9737,714,11644,1056,10896,56,7017,0,4274,0,MD-01
13079,1274,34373,339,18392,828,19885,4372,22350,1270,21111,1172,18964,1596,12035,1211,8067,261,MD-03
25687,523,54301,2740,30296,3099,47194,7505,46987,4634,52183,3570,55350,2223,34096,1241,22187,429,MD-04
18589,311,49087,1207,29130,1609,29291,1939,36460,1697,42482,1145,40995,1113,26347,268,11328,0,MD-05
23280,884,56344,3125,32720,3076,42707,5008,42517,3749,43992,2897,49688,3173,33189,253,23925,0,MD-07
23691,292,52061,1921,23906,2741,31627,5752,33505,2696,33828,1970,27467,1580,17689,0,8069,27,MD-02
8439,35,18968,552,9262,684,12534,962,15097,1358,11792,899,11037,419,6335,102,1792,82,MD-06
5550,782,17317,867,8717,650,9243,1428,12300,1569,13248,1392,10898,976,5673,270,4715,162,MD-08
