Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
7039,1700,15941,5648,1931,5526,5444,7570,4017,9068,3350,4615,2279,1670,1409,641,1604,0,GA-04
7923,74,9672,689,5268,2440,7818,1574,4202,2166,4231,1381,2785,1065,1101,139,370,96,GA-05
11904,1437,22602,5711,6851,5816,7610,5424,5391,7731,5801,5455,5287,1383,2836,175,1724,66,GA-09
18035,4117,31927,9708,8225,8493,8380,9458,11566,17913,13943,9256,8403,3864,4456,116,1870,206,GA-07
9608,330,18988,3827,5290,3347,5014,6587,8835,6758,7044,3297,4155,2554,3120,0,1847,0,GA-06
3934,327,12357,2361,2596,2230,3804,3557,2762,4407,3006,2074,1596,743,2341,0,1207,0,GA-01
7590,1003,19234,3985,4800,4966,4801,7892,5531,7462,7768,5336,3720,1820,1856,49,1656,0,GA-11
4092,334,9945,3483,3499,3342,2073,3712,2783,3877,1627,2344,2308,840,1043,0,449,147,GA-08
14951,570,28615,2413,12698,5379,12625,5747,8708,4049,8857,3709,5502,1955,2801,210,1932,168,ID-02
9308,0,13444,690,6726,368,7950,176,8234,281,4668,299,3915,0,2094,0,1128,0,HI-01
5805,311,17472,2045,8727,961,9108,1917,9820,2358,6743,2191,5034,1139,2738,210,1879,86,IL-01
11793,367,27734,1626,9259,3675,16793,4910,12600,4658,9659,3602,7513,1869,4221,254,2511,307,IL-07
10082,263,24337,1402,8843,4661,8795,3318,11362,3326,11823,3799,7120,1886,4569,256,3360,0,IL-02
12488,403,34777,676,16743,1298,20154,2735,19243,3483,18462,3829,12963,1557,7558,100,4955,48,IL-05
2121,148,6904,387,5136,840,2291,373,3576,477,2406,54,1419,242,979,0,110,0,IL-13
9781,777,20410,330,7837,1781,7252,2573,10198,2255,7640,1396,4875,545,2703,0,2260,0,IL-06
17926,1132,40186,4121,16357,5200,13946,6281,15620,11150,16668,4502,9964,2581,4856,632,2380,0,IL-10
