WithAnInternetSubscription,WithAnInternetSubscription_Dial_upWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandOfAnyType,WithAnInternetSubscription_CellularDataPlan,WithAnInternetSubscription_CellularDataPlan_CellularDataPlanWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL_BroadbandSuchAsCable_FiberOpticOrDSLWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_SatelliteInternetService,WithAnInternetSubscription_SatelliteInternetService_SatelliteInternetServiceWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_OtherServiceWithNoOtherTypeOfInternetSubscription,InternetAccessWithoutASubscription,NoInternetAccess,stateId
257484,434,257050,232032,22712,232634,24028,6179,333,26,4222,20985,MA-04
263174,330,262844,248383,31553,227579,13102,10658,255,160,6190,33005,MA-07
256711,728,255983,235005,26399,225153,19987,7773,278,77,7082,25225,MA-02
271758,478,271280,242235,26133,240571,27412,6586,867,0,7631,26481,MA-09
273925,377,273548,249951,25679,244833,22697,9662,443,40,7700,22608,MA-08
240063,593,239470,215809,41063,192073,21678,8705,789,213,14882,32120,MA-01
274958,895,274063,246701,22375,248251,26359,7363,243,96,4045,17856,MA-05
249133,1184,247949,210022,44459,179099,30449,27470,5052,424,7967,41648,MI-01
239693,977,238716,211972,42048,182279,23807,19145,2090,174,6408,34616,MI-02
229842,405,229437,208720,42073,180226,17089,14936,1983,307,6385,37705,MI-14
247791,733,247058,226016,43359,189544,18495,18667,1465,305,5415,30594,MI-03
240160,801,239359,199257,37153,192241,36798,14973,2099,35,6563,38118,MI-05
208192,643,207549,182504,40399,159228,21673,14705,1189,257,9404,47161,MI-13
274379,483,273896,251395,33333,234210,20468,12699,688,414,4116,26253,MI-09
257357,568,256789,235321,24779,222087,19040,16915,1010,103,4395,23067,MI-08
227346,1411,225935,194389,34790,171368,27866,24946,2221,216,8648,39219,MN-07
238269,760,237509,207603,34883,193524,28047,16646,886,125,6232,19247,MN-06
239291,1001,238290,212636,30227,192382,21969,19011,2513,144,7054,27322,MN-01
261910,482,261428,238836,19925,234984,20510,14566,576,101,4511,15129,MN-03
270417,621,269796,247177,31236,231680,20834,11522,990,68,9947,28789,MN-05
264303,458,263845,239827,34828,222407,22040,14886,914,193,8290,33928,NC-13
245740,525,245215,224802,28030,207133,17178,18462,1259,350,5354,34529,NC-09
273109,1141,271968,244381,32532,231778,24853,16621,882,164,13171,37239,ND-00
260340,452,259888,233644,32300,215795,22601,17259,2861,286,5448,35615,OH-02
219717,667,219050,186359,38439,159496,26970,24825,4015,77,7608,47813,OH-06
245667,1157,244510,217052,35019,194596,23786,20044,2318,248,7491,32897,OH-04
262900,709,262191,233221,26053,229488,26952,13903,422,180,7157,28740,OH-16
232455,433,232022,199511,35202,188139,29021,15697,2094,83,8378,66213,OH-11
247142,482,246660,225817,34166,199615,17951,17973,1314,640,4858,28620,OH-08
277865,550,277315,260211,44487,221758,14366,21593,1404,174,5550,31078,OK-01
270872,264,270608,240405,54687,203332,27565,20722,1119,419,7289,37734,OK-05
310809,1182,309627,290454,37706,264999,16849,10997,997,349,7641,23253,OR-03
299405,1189,298216,268037,39298,240186,24585,24647,3849,192,7980,28501,OR-04
174303,372,173931,156246,22166,147610,16750,6412,351,79,4874,22786,RI-01
218879,428,218451,198230,44425,162060,16419,21148,2180,146,6725,41067,SC-03
233350,83,233267,193535,34394,179080,26953,25434,11621,201,13127,43366,SC-07
184245,526,183719,167450,40821,133039,13404,23097,1598,508,11892,54869,SC-06
247166,625,246541,216959,40657,190707,26011,16435,1698,702,8135,39313,TN-03
215891,2506,213385,195887,52153,145872,12915,25183,2310,76,6740,45402,AL-01
226209,728,225481,203693,43406,162316,17190,28293,3777,100,7801,45226,AL-03
251400,661,250739,216539,35123,201015,27292,22762,5934,36,10538,31208,AL-05
206423,605,205818,187668,55907,132809,14044,24637,2368,87,5504,50938,AL-04
198568,709,197859,178855,45772,136249,14497,23431,3200,195,9378,51700,AL-07
215031,737,214294,194827,46279,154179,16354,19673,2536,76,5698,41451,AL-02
241274,551,240723,220033,42509,186736,18566,21913,1145,5,4949,26247,AL-06
221864,369,221495,204006,45758,166171,15806,15179,784,301,4508,25827,AK-00
215065,775,214290,185777,30390,160663,20419,29934,6846,304,6432,52201,AZ-01
211872,367,211505,190625,36616,161666,16464,25879,2845,352,6508,30449,AZ-03
279884,379,279505,261852,23354,247356,14608,25226,1280,120,4923,16060,AZ-05
286837,1291,285546,254149,42598,220393,22632,36699,4497,641,6951,35579,AZ-04
200559,419,200140,175893,46105,145477,20094,14899,1857,445,9970,47824,AZ-07
273767,445,273322,247614,35871,222559,21052,22392,2769,442,6075,29791,AZ-02
304354,665,303689,266714,26503,265249,30221,27839,3392,0,8506,20510,AZ-06
271486,742,270744,247175,32472,225675,19728,28332,1812,250,5645,16084,AZ-08
261432,845,260587,237307,38437,206466,19853,21647,1505,66,7137,41442,AR-03
252206,475,251731,225873,59002,177395,21567,23840,3142,43,4779,41856,AR-02
245781,292,245489,216397,30442,206999,27208,17973,603,126,8842,22758,CA-36
171871,162,171709,151928,22306,144369,18866,14025,509,0,2716,19915,CA-46
272547,255,272292,256919,18516,247562,13474,20431,736,313,7360,11748,CA-33
239023,174,238849,227786,18671,215747,9752,12586,576,460,2477,13139,CA-15
218882,317,218565,205952,26762,185511,10867,13147,871,161,4482,20630,CA-47
224149,744,223405,206581,39419,171248,14322,19072,1677,185,5221,42134,TN-08
251723,403,251320,224052,35060,202437,23829,24710,1628,332,9279,42646,TN-06
187658,212,187446,161217,36517,146925,25566,11006,336,0,3820,39059,TX-29
217011,189,216822,199433,44898,154274,12290,26973,3216,353,6310,39458,TX-27
242649,371,242278,226803,55387,175658,13152,19542,1344,362,4408,25684,TX-14
214700,555,214145,191901,43796,153089,17554,26044,3444,232,8325,38395,TX-05
292065,721,291344,270064,37778,239080,17796,22277,2264,366,4030,25628,TX-10
241047,170,240877,210919,37040,198286,28421,14812,617,318,11485,42439,TX-35
292438,156,292282,274416,23506,261535,15845,24659,432,968,3367,14875,TX-22
219109,419,218690,206947,44643,160890,9499,23247,1643,128,8761,35651,TX-19
209502,420,209082,194597,17329,181716,12317,18729,1140,76,14688,12173,UT-03
243663,899,242764,217481,34753,191552,18733,23095,4476,817,7096,18157,UT-02
251345,425,250920,234036,45942,200723,15425,17871,409,92,9318,33476,VA-03
239795,291,239504,223246,39562,189729,14400,14385,1175,21,6290,42769,VA-04
252695,259,252436,232884,29064,216721,17668,13071,405,4,4411,22073,VA-02
243005,631,242374,216760,46045,182082,21520,17694,2431,111,7809,40833,VA-06
