26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage,26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Less_than_high_school_graduate_No_health_insurance_coverage,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_public_coverage,26_to_64_years_High_school_graduate__includes_equivalency__No_health_insurance_coverage,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Some_college_or_associate's_degree_No_health_insurance_coverage,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Bachelor's_degree_or_higher_No_health_insurance_coverage,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Less_than_high_school_graduate_No_health_insurance_coverage,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_public_coverage,65_years_and_over_High_school_graduate__includes_equivalency__No_health_insurance_coverage,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Some_college_or_associate's_degree_No_health_insurance_coverage,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Bachelor's_degree_or_higher_No_health_insurance_coverage,stateId
37033,16904,21328,8332,77377,53982,27451,7828,117700,90798,31721,6644,93664,85243,11374,3622,15800,5748,15011,142,26152,15312,25673,0,36468,24037,35260,0,31212,22926,29313,115,CA-03
89163,34593,58197,29171,73634,37427,39190,11718,69198,49463,22783,8396,33166,29361,5320,2214,28579,5367,27648,1090,12915,5420,12379,287,15757,8875,15283,0,6744,4767,6282,124,CA-21
29351,14887,15356,9408,52416,41090,12840,7513,97376,83912,16406,9461,168716,159135,12355,5892,14039,2647,13483,50,19989,9564,19063,189,41335,20735,40137,0,52497,29223,49803,232,CA-48
52713,26242,27615,10767,103067,69490,37287,11442,119677,97510,27610,8420,65460,61096,5685,3217,23909,8733,23271,0,24624,13508,24260,0,30565,18798,30135,336,17278,10164,16615,0,CA-10
63259,26043,38592,45958,63269,32844,31752,19271,65095,46091,20875,13553,116636,101208,17995,14299,37163,4524,36142,1360,18195,2623,17837,813,13916,4651,13355,429,17726,6532,16549,430,CA-34
13161,7525,6598,2846,31979,25189,8465,3997,82084,67412,19859,7928,248986,238087,18066,8603,8283,2239,8001,64,13827,6981,13244,114,30800,17643,29516,43,57481,33827,53746,362,CA-52
33071,16265,17649,8585,59552,42175,19247,9723,102481,83422,21746,11256,187789,174005,18550,10372,13900,3523,13689,350,20608,8304,20255,276,36334,20436,34686,209,49483,29009,46553,89,CA-30
15600,10285,6216,3464,33864,26589,8692,6305,64047,56189,10961,5271,261674,253405,10485,5733,5243,2615,4435,196,14409,7303,13260,206,25916,15758,24764,182,71058,45350,64916,314,CA-18
60348,38073,24273,28902,58646,42059,18917,9610,84839,66301,21976,7259,94385,88551,8414,3436,19143,7067,18049,255,16444,8248,15942,99,31018,19182,29704,23,39890,28035,37785,0,CA-20
36288,23629,14120,6326,89439,70003,22443,17733,145187,122417,30030,12558,111513,104429,11680,5460,16548,3682,16204,279,29016,11453,27515,242,32939,17023,31587,0,23845,12359,22731,155,CA-42
43245,27428,18292,8811,75794,57823,21687,8738,115200,99729,20897,6625,102662,96309,9785,3262,16473,5880,15701,49,23202,10894,22220,103,27401,15011,26241,102,23385,14611,21410,30,CA-25
52636,27301,27277,15778,88684,62444,28664,17850,92281,71712,23412,12714,80203,71928,9780,4440,35866,5148,35131,989,23904,7068,23029,72,25195,10547,24087,199,20915,9617,19455,81,CA-32
63384,33291,32770,20921,70718,45347,27529,17297,96289,70679,29932,9399,112923,101946,13688,9711,22866,4041,22077,1372,21423,7672,20611,488,23365,12732,22153,199,22480,13308,20690,192,CA-43
69887,38469,32852,26713,89496,62730,30205,13699,103253,80109,26921,11572,68205,61571,8188,4321,26776,4948,26121,1848,16732,5637,16161,33,19485,7859,18324,194,12469,5756,11447,0,CA-35
36380,19282,18517,7386,54453,38140,18061,6432,77239,58759,20713,6024,231559,213153,23483,6257,17966,4725,17316,441,17374,7874,16693,585,23972,13946,22402,202,50873,33861,47158,164,CA-13
83647,38694,46463,33585,74958,48951,27693,18423,84596,59306,28487,10982,48530,41916,7850,4153,36533,4826,35149,497,16583,4992,16055,131,16559,7069,15582,185,11629,6425,10227,321,CA-44
24355,13920,11605,13292,38190,31348,8986,11970,88933,75347,16832,8811,170493,162645,12997,5022,10998,2951,10998,382,17647,9756,17084,191,34102,21110,33382,515,54337,32255,51481,137,CA-49
37905,24601,14949,8595,71078,55854,18632,11453,115812,99923,22533,7111,117048,109654,10357,2471,11950,4756,11162,361,25042,15063,24249,196,46504,30626,44567,246,50695,34842,48342,16,CA-05
75322,33219,43646,28008,74065,45239,30555,18801,84399,58518,28164,13481,79764,65790,15719,7855,31378,5318,30573,596,15310,3995,14496,207,16814,6599,16339,170,15678,7678,13917,149,CA-29
27809,14461,14894,4878,71349,48763,26971,7521,135493,107153,35321,10535,134242,124140,13783,4002,13140,4144,12747,45,26173,17163,24947,234,40925,29479,38698,116,38134,26843,36878,0,CA-07
26757,16083,11625,6622,57438,44490,14953,9283,98914,86455,15992,9721,156265,145195,13085,10319,16444,5326,15207,421,22163,8088,20608,166,32613,15359,31016,110,45180,20371,41169,415,CA-39
34335,21081,14765,11846,69187,49615,23268,12465,116088,97567,26502,11450,111423,103294,12351,5167,13906,3130,13458,206,26423,14225,25501,386,41387,22287,39474,122,35806,21177,33717,42,CA-50
39241,20063,21283,10961,81413,57287,29434,11328,123653,90256,39825,7870,77988,71514,8566,1946,16557,4891,16183,75,26646,12996,25757,192,33910,20728,32272,146,23741,15847,22787,0,CA-23
61396,28039,35624,22646,77825,52468,29426,18225,95210,68651,31808,14293,52521,43014,11538,6321,35146,6060,33861,1454,21175,11039,20414,319,20450,10784,19576,0,12397,6095,11659,129,CA-51
25041,11752,14663,5075,73309,47712,29602,8224,119687,85019,42495,12788,82059,71837,13137,3716,12427,5921,12363,0,36163,22485,35136,76,58890,37725,57891,272,40958,28589,40004,228,CA-01
97377,37019,61388,47789,68292,39815,30008,22002,69319,48861,21967,10272,32688,27706,5272,3795,36656,4424,35162,1546,11917,3422,11052,314,10206,4207,8981,121,4456,2792,3667,0,CA-40
15654,11170,6049,4415,37486,30032,9105,5729,97614,88447,12214,7507,234719,226153,12600,10999,8200,2327,8045,269,18586,8506,17613,0,36410,19376,34796,0,58963,32695,56218,381,CA-45
46067,19680,29085,13811,75200,49961,28119,6812,124143,90575,41819,10445,86053,78014,10740,2566,19207,4645,18843,689,19031,11599,18532,141,30857,18248,29763,0,26013,17805,24291,0,CA-22
54256,25342,31078,13074,100063,64897,38447,9212,108937,85921,27678,7985,82098,73242,12553,4149,22651,7024,21411,550,26232,15513,25108,127,32061,22129,31161,146,25713,16616,23619,130,CA-09
30314,15980,14980,8505,60512,39282,22189,9463,79066,65878,15642,9766,177529,165515,14187,9056,25823,3492,25329,1245,21404,6658,20403,218,27904,15386,26041,0,46885,24931,43334,56,CA-27
30893,21525,10459,6097,56362,42835,15004,6942,83380,73770,12312,4999,212272,205356,9254,4259,21059,8303,20312,0,22086,12820,21153,184,35462,24048,33675,201,45978,32309,41855,338,CA-14
25501,13310,13277,7677,50525,35937,17045,7150,98346,75835,27819,8091,139741,131408,12455,5566,10546,4770,10306,233,24572,13850,24145,48,48710,27677,47487,71,71433,45342,68118,110,CA-02
24271,11945,12917,12951,67339,46920,22208,13809,97073,78673,22391,12119,255808,243648,16318,11065,11367,2826,11255,1134,21482,8667,20938,241,24849,12230,24153,32,45937,27931,43237,176,CO-01
21767,11370,11565,10066,79667,53680,30123,16924,104048,79616,28803,17152,114151,105051,12586,8734,11575,4796,11523,217,35111,18321,34328,19,49074,28479,47284,3,49373,29633,47899,85,CO-03
29408,20979,9609,9093,78551,62148,19322,15933,123561,104802,24287,12222,167272,161540,10139,5524,10818,4343,10692,729,31117,17707,30182,7,38578,23855,37406,13,38961,24160,37463,80,CO-04
12650,9557,3254,2672,47104,39510,9470,8685,90849,77906,16743,11971,238566,229578,12837,8737,4253,1917,4157,149,20210,11209,19688,0,33961,18194,32659,0,67309,39086,64770,189,CO-02
22683,16737,6713,11041,70845,56840,17288,14013,111861,97422,20419,11152,186615,179952,11939,8279,7654,2451,6847,569,20197,10488,19407,92,29005,16619,27963,229,45665,26841,43553,251,CO-06
24069,9218,17504,2859,53720,27799,30735,3025,60416,40312,24327,4421,240851,232250,12819,5513,11160,4002,10700,271,18702,9793,17701,0,15101,10642,13436,247,39455,30185,35232,164,DC-98
22710,10168,13682,7061,99066,65299,37549,13758,81838,64217,20728,5710,134183,124588,13856,5213,16015,7225,15905,123,40388,24248,38665,218,26205,15455,24616,92,38857,26366,36343,325,CT-03
19904,8045,12252,11327,53471,35131,19426,13948,60267,45346,16711,6584,195787,184060,14583,12272,14702,5425,14068,506,26059,12394,25265,257,21255,12769,20166,174,49673,33758,45519,341,CT-04
16964,8514,8924,2384,88732,66326,26655,8709,93904,76195,21279,5500,123428,114442,12428,3432,10527,4925,9974,0,36173,22122,35006,231,34711,22292,33159,44,44142,31139,41597,0,CT-02
26257,16050,12407,13971,89803,67605,27005,29627,89334,75457,20065,17195,61502,55660,8647,6598,25018,12918,24424,206,87775,49621,86178,419,75629,48382,74565,249,71214,47143,69108,325,FL-17
20065,12263,8420,10664,93489,74719,24719,29354,108054,91841,22056,23920,79338,73959,8439,10998,19507,9239,19403,34,67062,36754,66188,797,59962,32741,58313,42,53796,32573,52520,40,FL-06
32361,17900,17475,13272,87951,65284,27498,30493,99086,80343,26215,18521,66559,63030,8096,6879,16316,4783,16000,231,31146,16067,30600,614,27357,14822,26232,218,20521,13384,19575,131,FL-05
37151,25497,12622,28344,87165,68011,22419,46056,85969,74207,14570,28133,76250,71058,6177,10753,35896,5155,34597,1141,34537,6173,33004,412,18569,5992,17673,383,17087,4544,16269,311,FL-24
18766,8833,10977,12292,83629,58381,29925,24577,93344,74376,28474,18431,59296,55063,8649,6576,29596,13178,29364,16,91435,52575,90666,114,98818,58101,96939,333,81987,52878,80586,148,FL-11
16903,14045,3760,7406,64582,58026,7895,20378,99025,91641,10329,19613,157138,151913,7211,13908,16418,4564,15371,782,36472,13002,34081,686,31661,14493,29416,333,41720,20441,37526,563,FL-23
18957,12122,7451,8377,72644,57293,21346,25723,109174,91823,25353,20173,101936,97736,9433,12130,17320,7982,16958,235,59260,33096,58453,453,62050,37395,60300,125,60419,37972,59054,194,FL-08
19478,13923,7533,12787,73227,63090,13137,25489,107818,96354,17074,13504,111009,105965,7626,10986,23371,9368,22918,488,60714,35100,60357,396,55432,31492,54255,167,66760,45447,64731,465,FL-18
32784,23133,11596,26768,96174,80134,19713,42023,93960,78293,20252,24177,79223,72590,9572,10590,24308,5752,23507,617,39503,12475,37865,1376,25226,10130,23786,766,18084,8932,16858,627,FL-20
50359,40013,11703,29653,82306,69889,14314,32826,76649,70562,7288,20674,98849,94875,4888,17233,52028,4424,50501,2621,36373,11513,35652,606,23697,10731,22549,41,34337,15285,32245,571,FL-25
16077,9126,8181,10393,76850,58905,24052,22296,102010,87653,22645,15079,101898,98967,8470,11801,12961,5469,12697,154,37195,17344,36628,297,38456,21657,37943,101,35751,22444,34904,473,FL-03
38242,26357,13773,18483,77977,64379,16271,26418,106741,93687,18403,22250,133760,129743,8108,16460,16106,4717,15144,821,29413,11082,27767,524,21765,11246,20747,0,25679,12430,23780,284,FL-10
18163,12432,6764,7901,76451,66591,14601,17717,102577,96014,12694,18222,172944,168620,9623,11273,10347,4652,9681,156,36174,18379,34660,337,38784,24196,37342,174,55987,35395,52832,764,FL-04
20264,14080,6950,11748,68112,51794,19717,21459,102244,89495,19477,17916,119408,114140,9199,12718,18615,5787,18128,183,52929,24428,51521,514,48302,24349,46777,114,50662,28835,47590,0,FL-13
31654,22697,9673,24873,81536,66135,16825,31842,89018,77967,13900,21857,110531,106212,6592,15466,37145,5475,35618,1782,30098,7264,28558,839,24133,6410,22950,280,24799,8832,22494,471,FL-26
16964,13250,4856,9898,64491,55348,11535,21911,90870,83012,10025,22726,149325,143740,7033,16992,17100,6026,15608,557,41066,17290,39066,297,40844,20246,39685,293,67302,37240,63529,667,FL-22
32698,22521,11482,15411,101512,76356,30679,32557,131856,113295,26951,21347,110646,104630,11420,11578,28613,8594,28074,519,48222,23779,46720,1609,37505,20944,37165,577,34812,20431,33506,418,FL-09
25522,17585,9744,14985,77771,63119,18602,28821,85930,77701,14390,17377,102610,96922,8456,9572,22213,9675,21761,752,67198,39258,65897,442,75264,46431,74468,0,102598,69064,99738,785,FL-19
20219,10787,11110,11546,82406,61872,27787,27390,116848,99152,28901,21502,94504,92195,8046,7941,16344,8228,16217,57,40180,25047,39669,150,39712,28787,38894,0,37762,27348,36385,60,FL-01
19531,13077,7948,7312,70263,59933,13829,22314,103768,92175,16263,18890,169664,163709,12174,12583,12056,2944,12056,195,28797,14057,28027,235,35442,17435,34833,94,40390,22458,38977,161,FL-07
24421,16004,9567,19645,60866,49764,11780,23480,76470,67513,11079,15878,163996,156428,9817,18833,35581,3156,34721,1278,33126,4025,32042,305,27630,6376,26842,236,40989,17523,37988,263,FL-27
23390,15403,8704,15225,87575,71853,20103,20968,107332,95681,18846,12889,96571,93652,7150,5543,15154,6440,15020,83,43160,23307,42102,157,31613,19100,31274,0,25665,16593,24840,69,GA-03
23411,12850,13134,12834,82613,67241,20879,22839,85631,76913,13582,18674,108058,104817,7112,6407,18900,6864,18679,184,37327,21334,36747,123,27990,16245,27310,0,28259,19484,27618,0,GA-10
27395,18054,10188,18872,74215,60107,18588,31531,101264,90171,17477,26096,115198,112461,6860,13555,14614,5858,14282,929,27379,12990,26542,60,27338,14309,26127,75,26012,16760,24767,118,GA-04
23291,11716,12917,10199,59751,41810,20563,21145,75326,62319,16085,16213,193859,187967,9664,14776,13881,3536,13812,229,28144,11540,26842,250,18758,9330,18264,0,35239,23365,33563,127,GA-05
32986,21987,12491,26027,84086,68777,19728,28755,90885,80656,15967,17551,81454,78128,5288,6122,22260,10181,22098,327,45345,26337,44255,469,38845,24795,37820,172,37869,26613,35571,9,GA-09
21186,17304,4372,26013,54522,49734,6199,20437,91582,85690,9179,19435,195127,192770,4928,12338,9712,3225,9236,835,24859,9811,24246,588,21634,11809,20729,544,31033,21144,28217,1268,GA-07
8171,6681,1619,14447,29722,26517,4407,10710,60840,57548,5140,7545,262787,260504,5541,11475,4394,2006,4021,446,15805,8208,15110,0,23229,13265,21957,331,55281,35481,52753,384,GA-06
22663,13905,10234,16597,76034,60437,19414,25041,93560,78898,21517,22602,87400,84235,9246,7121,13026,5467,12825,156,38733,20631,37563,283,33176,18840,32570,405,28688,18975,28115,0,GA-01
17214,13560,4301,19567,57093,51968,7336,21172,92015,85180,11823,17232,176138,174785,5918,12199,11998,4754,11998,122,26354,13629,26216,78,30343,20286,28704,0,33216,21955,31571,318,GA-11
22333,11978,12062,16349,75624,59336,22060,29933,84414,73702,17465,17732,75659,72872,5860,5768,19135,7825,19024,119,44544,28089,43074,620,25451,16654,25115,241,21713,16745,21215,186,GA-08
22211,15869,7835,13533,74421,63629,14264,23131,120556,108062,20056,18571,116789,113181,7014,9507,9905,4340,9518,225,31304,18745,30802,320,45356,28497,44387,62,35512,23909,34971,55,ID-02
17424,12653,5807,2199,73155,59464,16676,5611,105091,94380,16220,4077,132367,128045,9613,3739,20276,9971,19599,100,39870,26271,37669,171,34040,27242,32125,77,40715,31955,39052,62,HI-01
25826,11680,15715,6867,72552,52332,22225,11697,103553,77814,29984,13899,114164,106710,10466,6090,17071,6195,16822,296,36456,21314,35056,111,35127,21670,33810,286,26744,17848,25141,0,IL-01
28188,10257,18876,10064,64454,37673,29293,13485,71284,51842,22121,8765,185626,179511,7709,8336,23715,4256,23009,600,22924,9104,21659,340,22646,9485,21958,125,28506,20629,26600,778,IL-07
25204,9614,16159,8137,86074,58549,30755,14840,111118,82060,33123,11577,77600,68602,11712,5140,14349,5033,14099,206,33406,15898,32337,191,33884,18494,32339,190,21911,14701,20027,91,IL-02
17634,12360,5481,5632,49531,39736,10630,8812,69289,59083,12161,10668,247967,241547,8058,10790,14322,5924,13758,149,25127,11387,23893,193,21400,11732,20534,91,31832,19931,28829,99,IL-05
18299,9938,9172,3499,80274,57958,25605,8686,95522,77768,22716,5165,107017,101553,7947,2642,8958,3909,8897,208,44142,26439,43216,428,30663,20717,29461,156,26626,19022,24443,228,IL-13
10531,8782,1997,3197,47982,43701,5426,5809,84560,77311,9913,6878,199109,194859,6160,5833,7529,4387,7275,240,28388,17386,27370,0,29911,20114,28601,0,52157,36157,48454,456,IL-06
23842,15805,8919,14590,52884,43167,11302,11396,75113,63607,13928,9674,151935,147959,7005,6500,11801,5155,11606,546,25640,15151,24071,57,23535,14343,22591,57,45280,28544,41818,292,IL-10
49873,33089,17558,28160,69288,51332,20579,29857,64614,51319,15166,12941,102169,96041,7819,8161,23809,6569,22539,1044,26129,7653,25108,387,11988,5549,11336,151,11367,6762,10545,121,IL-04
18118,10415,8451,7577,38157,28377,11089,11940,63015,53802,11139,9660,210713,200692,12064,10008,13277,5777,12735,1064,23795,13066,21803,138,28095,17994,26619,22,58540,36611,54982,441,IL-09
22268,9385,14114,3461,84338,59244,29537,11190,113407,89929,31865,10104,80516,75413,7835,4094,15052,7739,14804,0,42295,25884,41859,168,37327,25419,36348,86,24141,17899,22763,0,IL-12
31799,24644,7977,12812,73608,58817,16691,17081,94907,82421,14673,11969,125821,119166,9071,11252,12765,4867,12120,289,27385,16364,26716,175,25297,16734,24208,70,29826,18843,28533,383,IL-08
22241,11382,12249,4472,100261,79264,25543,14139,109447,96541,19746,12005,103138,97025,9390,3921,13722,7180,13633,27,51986,33628,51256,45,28453,18863,27825,53,27332,19180,26385,0,IN-09
21863,12836,10666,8065,102784,81493,26626,15246,101976,86539,20821,8631,78366,73738,5928,2814,13414,6916,13237,725,55313,31275,54835,30,30502,18527,29800,250,23177,14313,22414,0,IN-08
21872,12712,9823,5225,107248,86357,24810,15888,109162,90081,22753,8485,82125,78229,5538,5065,15007,7519,14955,58,48927,30978,48129,162,29725,18172,29085,31,24287,14887,23704,67,IN-01
13561,7800,6148,6392,62915,51148,14562,12800,90893,80019,14357,8189,198887,193249,8626,7679,8907,4524,8907,37,37250,24620,35955,223,27900,17197,27349,0,43586,28614,42003,85,IN-05
40130,17419,25120,17159,98798,70182,33719,23637,95708,76530,24261,11262,98421,92577,8628,6276,14588,5853,14442,653,36890,19599,34723,107,23864,13607,23041,0,16750,9841,15768,0,IN-07
17843,10449,8379,3837,100024,79933,25827,9195,120970,103469,23087,6142,106613,101974,7517,2159,10560,5774,10549,285,60183,39575,58882,241,34180,23320,33305,0,30949,20426,29937,0,IA-01
19701,11362,9073,5889,98805,75948,27828,11713,117858,96917,26784,8968,111032,105780,7758,2835,12753,6774,12597,169,50867,33113,50304,120,36575,25146,35992,165,32653,22776,31654,168,IA-02
21141,17189,4659,10102,67305,59012,12729,14540,96988,89735,13256,12947,76265,74937,3249,4043,10732,5732,10430,251,39084,26098,38516,11,34527,23735,33466,134,29862,21418,28604,474,KS-01
14806,10985,4529,12501,53499,47932,8528,14469,87708,80583,11399,11807,195764,192154,6230,7344,7426,2731,7030,324,25598,14405,24924,132,31081,19730,30083,0,45042,31004,43543,219,KS-03
14164,9093,5874,6739,76138,64174,16514,14161,102818,92829,16484,12039,94762,92311,5166,5028,8222,4891,8165,0,47506,31629,46940,77,32815,22619,31796,48,33375,24523,32036,123,KS-02
24845,10909,15183,7963,91635,62894,35201,12609,101948,77577,28258,9176,128341,121200,10480,4457,16785,7728,16575,284,35969,21077,35439,0,29079,19483,28816,224,33293,23324,31823,0,KY-06
32903,12770,22195,7224,115663,77050,44640,14484,95694,72157,28736,7814,59632,54737,6960,2480,23740,10993,23329,361,55234,32506,54936,28,31066,19755,30839,0,20655,13929,20015,0,KY-01
53194,14996,41303,7602,117804,60915,63549,15661,83554,54152,35904,8388,47432,42667,6254,3113,39899,16611,39711,28,43918,23801,43286,0,22962,14746,22390,18,14648,10910,14007,0,KY-05
37913,11755,28280,8428,105288,68497,42189,21816,89829,72047,25886,10102,63956,58342,8063,2713,19869,6398,19863,58,49194,24516,48797,517,29225,19919,28822,0,24647,18216,22971,50,LA-04
43373,16895,29716,13186,102028,61949,45012,21072,102492,70966,37096,16291,100599,90629,12474,7043,23344,6865,23313,110,40994,15158,38952,252,27269,13509,26359,394,25638,15397,23794,144,LA-02
31489,12850,20362,12425,86371,60451,28471,19171,100526,76892,27939,14003,125939,118845,9901,6383,19130,6015,18857,56,46140,21002,45588,55,31265,15925,30789,41,40037,25277,37931,249,LA-01
40482,12797,30043,9939,107454,65729,48903,20540,77560,57278,25302,11038,57323,50732,8870,3848,19420,6497,19168,172,40341,21358,38674,234,28546,18338,28263,444,25407,16902,24445,0,LA-05
13681,6937,8095,3298,79727,63136,22132,13661,87713,76551,16138,9144,138748,134001,9507,6339,11516,5579,11222,10,41220,24201,40011,84,31724,18092,30774,0,55560,36667,53501,64,ME-01
14764,4847,10816,4129,92324,63833,34333,22756,99425,81109,25873,12357,79425,74166,8407,5831,16918,7539,16850,16,50252,28678,49587,88,35520,22767,34459,0,34594,23984,32448,18,ME-02
20965,9947,12251,4984,94203,74880,24988,8444,99199,85195,18856,5623,123392,117920,8783,2600,16535,9422,16218,9,47642,31763,46726,27,34696,27137,33340,161,41554,34090,39083,0,MD-01
20122,13844,8524,4841,61248,46046,19007,6321,85732,72502,17234,5186,208799,200092,12916,9255,12862,5333,12312,699,25987,17917,24803,533,21490,16218,20417,0,50460,40111,46344,982,MD-03
27673,18139,10545,20721,86999,69555,21557,14800,92573,77323,19073,10592,141787,134753,13386,5759,14389,8476,12697,1342,28692,19677,26015,374,28019,22388,25922,343,31891,26686,29382,611,MD-04
23382,16534,8874,7300,96894,82477,18825,8393,104578,93049,18119,6421,136354,128895,14859,2924,11953,6570,11548,413,33943,23342,32621,71,30179,24665,28193,115,31183,26028,28950,105,MD-05
28589,9704,20761,4409,79253,46986,37276,9619,85728,63282,28066,5939,151982,142197,13752,5289,18454,7344,18040,240,30929,18188,29951,86,24666,17867,23751,230,39408,30982,37618,0,MD-07
23562,12550,12771,3595,90296,64094,31315,13697,103439,84185,26059,7968,131839,126579,11188,5641,18840,9442,18201,456,35860,22520,34951,0,25393,19201,24144,0,26185,19749,24863,4,MD-02
22291,15927,7562,10615,75973,55778,24047,9675,85318,69945,19471,7216,179907,172544,12369,5870,14614,6562,13501,832,30733,20236,29728,166,25939,18442,24809,17,41314,31742,38328,154,MD-06
19093,13551,6626,16425,54847,43786,13083,12272,65530,56603,12073,6331,208354,203454,8289,5345,12036,5832,11700,669,25707,17993,24723,49,24470,18196,22576,190,71906,56317,65930,306,MD-08
16611,9198,8456,2368,69632,52897,21552,4995,75777,62622,17868,2219,213770,204034,15865,3478,14563,7792,14066,318,30279,20152,29429,0,27062,19860,26033,0,51405,35884,47409,205,MA-04
42195,19700,25110,5454,78950,48653,35017,9879,75557,52466,26609,5639,214296,198211,18981,5673,24084,6830,23021,542,24387,10397,23197,543,16050,7141,15103,0,25536,14593,23278,229,MA-07
19719,8058,12575,2162,86470,59649,30780,5419,96540,74877,26924,3616,163198,150460,16729,3211,15552,5477,15404,40,37540,21793,36151,90,30213,19825,29419,64,39013,28428,36142,63,MA-02
24391,10463,16051,2738,91656,64597,31795,6380,97045,75008,27092,4428,132009,121351,14019,3683,15153,8814,14728,0,42345,29286,41318,134,42122,30157,40330,120,66158,50358,62381,64,MA-09
25920,12137,15520,2288,73760,53132,24319,3060,82822,65389,21077,2517,222064,211589,15256,4287,15714,7285,15296,0,40419,24825,38775,245,27970,19776,26137,0,42019,30588,37375,0,MA-08
30958,12511,20647,2655,101682,65691,41546,6503,95427,70339,30409,4651,113302,103673,12528,1923,18266,8039,18018,33,45363,29534,44658,0,31150,20590,29776,0,36310,26899,34250,209,MA-01
16065,8832,8300,2263,57818,38858,22005,3234,61132,49578,14435,3918,256138,242897,17516,3805,11804,5447,11202,49,29158,17730,27628,81,22329,14475,21083,259,55752,41289,49611,461,MA-05
18222,8222,11341,3761,86428,59912,31540,11872,109270,85718,30424,11970,80976,74971,9456,4798,12927,7436,12780,69,58130,40410,57752,208,47538,34260,46887,50,45650,34454,44838,0,MI-01
22420,11857,11709,4928,96184,72379,27220,9677,113512,94413,22873,8628,100186,95551,7812,2818,11817,6087,11427,290,42079,26111,41211,91,36425,22728,36045,51,29558,21094,28867,0,MI-02
28480,8216,22086,3546,72801,40586,36424,12979,93308,65874,32359,10756,117422,108250,11640,4973,13682,6591,13548,237,28364,16781,27879,47,27577,18228,26544,33,38304,28876,36715,40,MI-14
18960,9863,10885,8896,91919,69783,25622,9102,112481,94659,23473,9114,122573,116917,8239,5671,10432,4488,10432,597,35810,22472,35224,100,34166,22133,33541,0,31841,22492,30808,0,MI-03
26203,8232,19540,3902,90160,55030,42074,10831,122692,91462,39589,8478,68791,63113,8236,2078,15696,9155,15687,76,48508,35633,48122,40,39961,31879,39448,174,21841,17419,21353,0,MI-05
39550,12555,28943,9864,100497,54260,52308,16857,101469,69622,37397,10154,52206,44939,9072,2489,17992,7241,17787,422,34667,19644,33416,420,27934,18714,27266,0,12733,8901,12168,0,MI-13
25053,12288,15148,5177,89922,67043,29205,11507,114485,94973,25668,9432,127846,121292,9215,4103,14365,8309,13799,69,45804,32567,44931,28,33141,24620,32504,0,28117,21900,27576,216,MI-09
13367,7496,6714,2245,64201,49863,17061,8825,105484,90034,20926,7861,159718,152042,10254,5055,9236,5608,9114,47,30571,21570,30018,100,35288,26044,34063,40,40233,31480,37967,0,MI-08
13842,8119,6426,4703,75799,57663,22696,7484,124104,104372,25212,7296,74944,70513,6519,2574,13582,8330,13487,57,53357,37312,52321,70,35601,26060,34934,46,25292,18651,24702,82,MN-07
14219,8207,6652,2879,80459,64973,19789,6859,128029,114020,17656,7087,126064,121236,7292,3363,9626,6497,8829,11,34311,25079,33715,0,29175,20613,28736,0,22168,17064,21529,0,MN-06
13713,8209,6110,5717,70403,57341,15849,8976,104329,89799,18848,9547,105542,101286,6792,3927,9515,4971,9494,105,44611,29818,43981,93,32777,23955,32032,8,28965,22148,28237,19,MN-01
13458,8613,5407,3514,54188,44070,12840,4878,99524,86147,16173,4666,198010,191952,8496,3712,4574,2595,4128,67,26567,17347,25755,101,34671,25916,33058,0,48741,35464,46126,0,MN-03
