IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,stateId
322,714,2083,1385,0,1115,176,368,696,1802,1982,927,6055,26430,49849,68903,853,4815,6620,3581,1575,6081,13230,9433,NV-03
954,1570,2119,855,256,609,312,64,733,1547,2384,278,13965,25015,52536,47928,2826,4461,4747,2082,3764,6254,9439,5907,NV-02
649,455,705,343,382,200,129,173,229,1448,1028,487,4323,28116,35841,64777,1356,3078,3470,2717,815,4883,7625,6401,NH-02
533,614,1047,359,781,552,329,41,1782,3023,1946,588,5908,28123,34007,54825,876,4103,4087,3463,2769,8971,11740,9327,NJ-01
2447,1428,1435,383,471,1646,210,148,2345,4461,3057,1946,9493,23940,21843,43741,2276,7240,4084,3518,4637,12346,15769,10086,NJ-10
623,577,378,630,0,205,144,88,770,1531,549,1023,4846,22571,31522,96258,475,2848,2443,2851,1623,5998,6168,8983,NJ-05
217,1449,357,1382,62,353,0,106,214,847,791,280,5681,19816,28313,106627,949,1930,1602,4435,1316,4286,4975,10814,NJ-07
1013,2141,731,1372,83,838,469,286,3332,3459,1725,876,10986,30293,25069,59611,2255,6218,5002,3824,3054,10193,8029,9281,NJ-09
1333,1228,989,1308,427,305,106,285,2228,2141,1366,582,10062,24827,25774,69495,1550,3625,4193,3726,2052,8442,8517,8144,NJ-06
1816,1781,718,1685,514,0,141,0,1339,3025,1265,741,7050,19470,23481,89193,1876,4055,2845,3476,1894,7048,7669,7177,NJ-12
2551,1738,2250,844,627,1333,664,161,3176,1723,3677,2391,6998,17362,31584,45127,1704,4429,4055,2514,2984,5369,10709,9378,NM-01
2560,2055,2627,1187,392,783,1128,138,2932,3399,3602,644,7114,21167,34461,38048,2081,4920,6089,3160,3297,6966,11053,8545,NM-03
1015,959,565,694,361,254,234,61,542,1057,843,50,8056,27282,40041,48169,678,4129,3137,2845,2624,7666,8203,8507,NY-02
1007,747,1285,991,677,689,642,197,2088,2709,2141,1349,4440,17356,30153,64075,1423,3139,3467,2395,2157,7084,11070,8529,NY-25
906,959,529,987,10,132,0,116,433,335,612,535,5156,16369,29399,102157,682,2308,3035,4962,1053,5287,4281,9501,NY-03
3845,3910,1490,1911,212,167,57,246,1403,295,362,605,10143,14441,11212,76549,1960,1181,1382,3764,1992,4707,3363,9808,NY-10
3865,1683,1179,1048,858,750,191,721,6253,6714,4244,1097,10433,11114,11094,25396,3039,6446,2700,3213,11021,11108,12380,11050,NY-13
1690,2832,1537,926,608,763,367,0,2524,4563,4731,439,3985,20962,35053,40660,1041,4700,5357,3580,1823,8711,14649,8193,NY-26
1213,1802,1461,1402,255,810,390,56,3213,4615,1939,1579,10293,19802,17280,49795,1756,3724,3236,5016,4660,13929,12383,14255,NY-09
962,1611,384,489,249,205,106,119,453,2003,629,653,4858,26655,38349,62464,2170,3538,3383,2825,2350,6317,6938,7450,NY-01
5454,4013,1593,825,467,517,130,126,4034,3237,2272,1632,17882,19807,13848,36636,3128,4884,2613,3371,8299,7565,6359,7357,NY-07
1961,1900,2092,1363,56,91,0,29,1249,991,477,513,8549,17272,30803,83190,1341,1506,2532,3904,2643,4242,4940,9862,NY-17
2048,3412,2101,2375,183,154,573,489,1340,1168,813,809,13172,25549,26248,55844,1578,4489,4579,4492,2658,6782,7353,11056,NY-06
1279,1403,894,1210,377,900,1498,33,1607,1930,1115,773,12819,25701,28985,31198,3057,3590,6102,3359,6314,12773,12828,13455,NY-05
