IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,stateId
1338,2092,1027,1188,603,524,346,109,854,2939,2053,411,7153,31107,37897,49404,1443,4121,2553,2420,2067,6017,8757,5799,NY-19
719,1206,1373,549,255,442,471,0,655,2021,2140,667,4785,36503,42926,61674,1539,3949,4206,3392,1179,5115,9153,7466,NY-27
2078,2333,1147,1163,216,785,310,76,2324,1721,1217,392,16367,23369,20118,31099,4746,5447,4992,3559,5071,9831,9499,8582,NY-14
1037,1900,1261,567,545,332,744,20,2984,2556,3677,1179,4283,25824,34100,51870,1149,3920,3750,2326,2210,6068,8286,6598,NY-24
1797,1413,549,683,492,116,181,0,1431,1371,362,144,12512,16729,34982,56664,1222,2535,3652,3563,4189,5216,9235,5713,CA-26
1038,580,750,786,210,0,102,158,778,1005,1014,247,14992,15584,29821,55763,3734,3778,4311,3586,4931,4260,8183,6431,CA-19
896,853,858,1119,557,46,294,86,2230,548,1628,540,12636,16415,33532,55201,2995,2617,3552,2704,3734,5295,7593,5228,CA-24
2468,2580,1954,449,402,810,596,608,1884,3101,2992,658,10925,20528,31432,40333,1547,4657,5124,4030,3855,6948,15918,7807,CA-06
1595,826,994,983,370,173,150,639,2621,984,1784,698,11999,16088,33477,79069,1484,2409,4359,2958,2540,3784,9200,9504,CA-11
2744,2664,2551,788,852,819,385,74,3442,1878,4045,506,12212,27613,40534,24659,2634,5334,4975,1359,3003,6251,9666,4452,CA-08
1519,2560,960,1533,211,352,196,162,797,929,1677,795,9212,15133,23441,56898,1093,2627,3522,5415,2738,4186,6391,8661,CA-28
1379,892,595,269,121,59,40,54,885,728,1681,723,9138,10197,14657,73692,1473,1399,1782,4267,3037,3550,6680,8562,CA-12
1611,997,1947,1187,216,108,550,167,398,1505,1944,345,5197,21767,59875,71154,538,2868,3239,3287,1021,4477,7838,6847,CA-04
2419,1093,1368,747,481,512,466,283,1565,1940,2097,539,22147,21236,31243,22873,3695,5779,5479,1306,3714,7516,10470,5266,CA-41
125,550,799,1295,290,0,105,260,153,598,876,506,8468,10506,24625,112707,730,3150,2138,5595,2920,3273,7226,7955,CA-17
2089,1407,1045,764,418,902,457,197,1066,734,1211,278,16633,19951,35997,34155,1757,3683,5065,2752,5842,7218,12011,6385,CA-38
584,656,1316,1253,107,346,636,131,1384,1834,2919,1080,5892,22606,53704,78164,658,3151,4960,3442,1474,4494,9626,7215,CO-05
1069,2507,686,645,148,363,244,268,1163,3215,1490,570,11049,27985,35864,65781,3427,4149,4984,4507,1742,7178,9142,8054,CO-07
1884,2073,1494,1072,485,892,516,156,2079,5026,2359,389,10356,36134,48956,75825,2388,4306,5835,5263,2770,9503,11764,11059,DE-00
872,897,521,871,22,507,487,191,1687,2758,2864,528,4572,22715,30380,62752,1709,3581,4156,3397,3077,8828,10743,7894,CT-01
1673,1493,573,437,167,524,256,0,2171,2943,3075,671,5661,27608,29825,60224,1527,4492,3808,3303,2056,7623,7567,6777,CT-05
1180,1703,1189,1052,358,941,367,400,1745,3482,3034,1917,7137,19476,30537,60307,1740,4747,4116,4237,4025,7783,10520,8987,FL-14
1322,2297,1697,948,220,772,597,0,1602,1849,1854,595,8452,33721,47261,74834,459,3558,3330,2551,3407,7267,9098,6215,FL-16
1490,2416,1241,1643,467,330,456,176,1201,2287,2745,900,11126,29546,41754,41514,2742,4048,5068,4076,2521,6507,10298,7307,FL-15
579,2011,1769,1121,628,1103,1126,80,1265,2373,2891,874,5816,35882,49889,58329,1603,3325,2380,4733,2276,7963,9568,9203,FL-12
914,2535,1121,1013,628,228,527,0,2214,3842,3261,767,6586,33297,41555,47020,1719,3755,3902,1936,1469,5549,9848,5625,FL-02
2265,1164,1459,1893,562,435,704,377,873,1085,1421,1093,7471,25592,37153,63626,3083,3192,4401,4422,3335,5567,7905,9478,FL-21
576,2105,603,70,446,200,61,0,1091,3571,3549,1377,8355,27360,35583,42616,1771,5097,4612,4535,2921,10025,16748,17194,GA-13
1980,1628,1390,609,972,1503,825,359,3920,6414,9371,803,7080,23236,32017,23172,1532,2839,3169,1028,3495,7521,13205,4416,GA-02
2120,2521,1662,363,19,281,69,11,2213,3120,2713,490,16044,39049,42327,32298,2960,3672,4062,1996,4603,6987,8154,4904,GA-14
1228,1932,1541,487,605,223,286,44,3886,5910,4968,471,8406,28809,31800,30379,1984,3020,2798,1312,3924,9035,10197,7124,GA-12
1580,1119,3723,818,879,193,765,10,790,2089,2730,651,9451,38072,71058,65195,1411,6045,6178,2773,2213,5442,12626,6525,ID-01
1078,1800,1473,1171,108,685,421,115,745,2670,1647,948,5031,23688,36790,43990,261,4765,3327,2449,2056,5613,9238,5131,HI-02
760,1811,1532,424,898,471,881,276,478,1394,2080,415,3470,31160,44741,61279,842,3323,2816,1770,1038,5602,8612,5865,IL-18
187,882,509,599,37,51,101,110,161,1190,1455,234,5319,23306,46041,82567,799,2657,3448,2342,1057,5011,5639,6241,IL-14
1166,2047,719,599,298,883,349,101,625,2658,2889,540,7604,36341,47708,40556,1372,4884,4659,1899,1610,6893,7719,3751,IL-16
1346,2130,1498,420,1072,885,589,0,2735,5419,4703,369,6541,31149,41795,30835,1036,4926,2777,827,3442,6582,10435,4534,IL-17
1174,1664,1307,809,174,496,252,0,1006,2170,1575,850,11578,26684,35283,48172,1871,3454,3787,2596,1980,6085,9395,6738,IL-03
1252,1892,882,654,143,430,391,277,1422,1334,1815,531,10494,24281,32383,58016,1900,3166,4081,2826,1385,6921,9728,7179,IL-11
871,2472,1637,518,400,1151,350,29,1163,2208,3742,394,6538,35542,54971,39486,552,4375,3273,1403,1547,7406,8452,3082,IL-15
770,2252,1059,804,377,1253,530,139,2599,3166,2508,85,9590,37214,37039,39288,905,3325,3186,1657,2304,7484,8055,3880,IN-02
1099,2142,857,775,395,1352,858,181,633,3166,4175,267,8932,42674,38213,37197,1210,5182,5205,1930,1565,6988,9738,4223,IN-06
2152,1742,807,684,1010,596,317,59,698,2546,1903,615,13877,38758,44243,44444,2041,6347,5124,2359,2816,6109,9301,4180,IN-03
1132,925,896,930,96,648,212,37,1232,2646,2314,350,8767,36992,44540,47366,1503,4819,5719,1704,2348,7692,6764,4971,IN-04
474,1811,1208,791,615,599,161,74,1524,3689,2537,233,7110,40014,54362,47779,1760,4169,4224,1308,1695,5106,7766,3918,IA-04
936,1706,1167,1570,352,987,1437,231,1236,2752,2697,441,6027,32613,50146,72043,1570,4478,4839,3726,2218,6382,13343,9080,IA-03
1524,1299,1595,500,501,563,391,197,1568,3049,2328,620,7426,27287,44585,52141,1538,4055,3004,2859,2221,5762,9635,6051,KS-04
2569,2371,1070,820,870,1610,359,141,2113,3615,3501,506,11094,43632,45800,42220,2209,6301,4087,1425,1504,6420,8988,5240,KY-02
697,1913,968,1048,376,703,475,132,2592,3813,5057,352,6355,22822,34912,54331,824,3446,3665,3189,2331,6494,12978,8847,KY-03
965,2460,1943,344,912,398,140,112,1802,3211,2791,974,8015,35401,43198,56643,1740,4862,3828,2352,2637,7306,7402,5535,KY-04
949,1584,1244,274,965,615,685,71,2404,5132,4596,704,8234,37132,36360,50719,1311,4689,3395,3214,2797,7863,8064,10119,LA-06
3080,2363,1776,902,1347,2054,296,0,4564,7670,5527,943,11106,40198,37892,40516,1336,5313,3664,1902,2034,11153,8959,6525,LA-03
814,352,373,553,0,116,40,80,883,2055,1642,770,9207,21272,29719,92962,1846,3991,2514,3647,1794,6261,7903,9730,MA-06
829,856,327,406,69,849,265,100,589,2059,1965,924,6884,25564,31519,71974,1216,6228,3147,2678,3187,9917,10875,7680,MA-03
669,1851,1949,1020,203,772,433,0,1959,2748,2170,716,6224,33372,48728,48011,673,4762,4644,2016,1792,5538,8013,5600,MI-07
1252,1895,1305,1081,1190,444,295,165,2376,3251,3504,985,6237,31529,44273,50736,1692,4374,3162,2801,2132,6845,8605,4120,MI-06
898,1643,1480,497,609,648,341,92,600,1426,1626,338,6898,37963,57654,47505,899,5497,4232,2253,1723,6745,8193,4680,MI-10
826,2547,1636,706,638,888,97,23,1150,2338,3176,472,6223,36589,49575,42383,1116,4416,4030,1824,1324,5467,7175,4287,MI-04
286,718,1080,1361,0,403,0,45,306,876,2261,282,4197,18150,39093,95496,873,2610,4230,5163,916,3601,7619,7272,MI-11
1712,1869,2126,1408,116,751,367,272,1074,2301,2011,756,5906,22898,30556,49689,1413,4189,3336,2474,2543,6718,10042,7073,MI-12
102,720,785,468,17,408,583,140,604,1092,1397,274,3629,22451,43370,75437,1624,2154,4213,3830,808,4077,8899,6670,MN-02
461,1395,1020,582,339,277,776,152,1175,1997,2763,209,4738,34220,54556,43309,769,4360,5101,1895,1323,4758,8396,3951,MN-08
1009,592,552,625,331,904,339,336,1420,1405,2327,674,4693,14152,28453,70926,832,3589,4311,3351,1867,5378,7017,6823,MN-04
1862,2116,1296,1683,547,422,538,249,2064,2091,2063,525,6506,15094,29798,60199,2436,3969,7821,4546,3751,5941,11989,8775,AZ-09
1428,3383,2449,734,355,1645,406,49,2508,5747,4789,833,10510,41736,41168,29275,1854,5323,2412,1135,3358,8180,8497,4332,AR-01
2835,4782,2989,554,860,714,300,43,1171,4110,4821,1294,9934,39091,41282,29023,1456,4940,3117,1120,3294,7901,9139,4110,AR-04
5056,2487,1936,510,1392,1099,476,0,6854,5182,5935,722,25144,19058,30292,15436,5628,5412,4183,1455,7039,4766,11149,2764,CA-16
3153,1024,644,1137,1099,773,139,375,2933,2091,2765,264,14303,10418,17407,44091,4647,2969,5873,3552,6762,3785,11531,8035,CA-37
795,1148,965,2041,19,92,493,255,1587,875,1375,276,7865,15752,41658,57255,997,2829,6088,3729,3187,5539,9924,8650,CA-53
1714,1296,1156,897,1134,253,450,0,1920,2569,4264,322,15962,20689,33511,37510,2478,4388,5401,3305,3725,7215,11390,7194,CA-31
1606,2105,1809,1296,1213,876,859,29,2487,3435,3014,711,12668,41307,47773,48071,965,5136,3167,2393,2326,9117,9940,3926,TN-04
1010,2131,1268,502,525,1193,582,70,729,3813,3109,940,6740,32963,38789,42604,807,3756,3715,2074,1080,7182,8140,4359,NY-23
2356,1052,490,842,733,487,396,0,2214,4064,3401,901,13613,18228,18702,61359,1488,2789,3486,4825,4962,8797,10408,14488,NY-16
1533,1918,1024,2247,309,495,237,53,1314,2270,1480,1070,10212,29967,32136,59286,1083,2611,2744,3887,2493,7818,9033,10334,NY-11
3375,2590,1515,811,1726,1974,356,640,13766,8261,10407,2220,10036,14034,12434,9040,3645,7467,3033,2042,12027,13756,15337,10142,NY-15
2854,2736,1108,2551,307,1511,359,393,3718,8803,3409,1526,8501,23610,18488,37262,2021,6622,3711,4522,5450,15755,16005,14551,NY-08
897,956,302,1161,506,285,151,151,791,702,971,745,3613,5915,10593,90765,1593,1122,2512,4589,1557,2474,3147,9153,NY-12
1298,1636,1824,1231,472,173,197,0,327,1731,1699,572,7830,23544,37639,61279,937,2730,3117,1980,1265,6693,9245,8614,NY-18
2590,1635,1378,1021,648,828,731,94,3736,5410,6187,1652,9228,27250,30804,40972,3117,2750,3413,1753,3504,8469,15797,8137,NC-01
2288,1783,1510,1089,664,1082,262,0,2691,3853,3506,702,8434,28370,53599,56057,1956,3936,3298,1957,2655,6084,10972,6463,NC-07
1247,1619,1765,900,901,747,410,0,1355,2375,3210,632,7982,27800,53491,92141,1745,3393,4306,2776,2909,6938,10562,10335,NC-02
2676,1956,2358,1073,530,1362,892,46,3334,4473,5731,553,11712,36257,45282,48685,2680,5450,3526,1920,3021,7775,9913,7137,NC-06
1454,2486,1845,749,503,1938,952,0,2066,3139,4517,514,8576,33157,56148,47791,1379,2706,1700,1606,1791,7905,10950,4954,NC-03
2370,2234,1654,952,773,731,319,120,2054,3139,3735,912,8970,31808,45390,47487,2368,4085,6228,2669,3325,6564,10747,5330,NC-10
494,669,640,1847,0,336,120,238,1390,1773,2591,1649,5267,13765,26267,102751,2083,1751,3992,5074,2658,4246,10163,13474,NC-04
3114,1894,2008,1441,881,393,593,114,2054,3361,4086,330,10925,32325,45810,46612,867,3157,3902,2313,2508,7308,9765,5705,NC-05
395,1084,441,339,1210,783,107,0,2367,3709,3374,965,4078,25806,35720,63818,1266,4421,3146,4707,1867,7681,9167,10316,OH-01
1811,2444,2141,724,1157,310,543,35,1702,4272,4685,193,9899,38992,54464,54991,2814,4734,3632,2111,1936,4920,10057,5319,NC-11
694,1651,2661,892,56,587,454,22,2691,2271,4550,1297,7122,29493,48899,50866,1120,2698,4472,2209,2620,6905,14891,8225,NC-08
1601,674,505,940,432,758,391,232,3226,2856,2960,1048,9627,14907,36470,65416,2968,3354,3558,3750,3480,6114,17303,12539,NC-12
1341,1085,961,553,399,850,136,0,1237,4788,3001,205,13613,48784,39800,41472,1431,5503,3603,1556,2153,8216,6891,3491,OH-07
1268,1590,960,603,691,744,303,0,270,2811,2538,240,8629,31558,40736,65114,692,2972,2648,2553,1290,6250,8400,5677,OH-14
2014,1458,1740,424,994,1191,546,598,3853,6204,6401,980,6222,23453,30392,39672,3202,6191,5126,2170,3106,7681,14969,8278,OH-03
1081,841,1541,474,618,683,1402,155,1814,3896,5416,141,5360,26265,37236,51557,1370,3726,4329,2198,2488,6967,11020,7684,OH-10
435,1587,963,470,251,350,233,255,662,3281,1608,226,4509,40415,49539,50637,981,4715,3375,2540,1862,6959,9536,3719,OH-05
1750,2680,1192,331,444,528,712,367,2131,5310,6346,493,7373,34582,29943,35039,1328,4613,4670,2094,2463,11506,11483,6369,OH-13
1278,2686,813,1301,139,456,78,0,1437,2871,2160,333,5204,37117,37363,64375,1493,4505,3769,1868,935,7547,8360,8253,OH-15
2010,1377,2254,311,955,930,445,158,3596,6567,5487,591,7081,27200,29173,31431,1359,4966,3693,2914,3301,10476,14207,5114,OH-09
308,1352,1612,263,78,487,167,166,1254,2746,3120,622,6115,28689,36906,87882,886,2905,3823,3201,1145,4836,8865,7524,OH-12
3078,4595,3338,909,1026,1426,824,90,2533,5143,5235,839,10597,39648,47257,30357,1608,5613,3842,1486,2379,7554,9896,4459,OK-02
2053,2598,2169,525,801,1208,668,117,2737,3054,3716,665,8721,40411,42847,47207,1700,5020,3647,1971,2832,7433,7101,4739,OK-03
1197,1806,1401,349,265,562,790,302,1337,2456,3330,695,8234,33814,49230,49033,1060,4204,3166,3257,2227,7479,9886,5423,OK-04
702,1513,1246,814,134,435,350,0,788,1567,1558,1070,6130,22952,49489,80911,1130,2411,5801,3471,1750,3596,9479,8666,OR-01
1437,1739,1202,856,164,367,516,295,1109,1381,2862,382,8881,26088,52831,66059,1005,2696,5168,2633,2788,6450,13167,7002,OR-05
625,3483,3258,509,220,949,1047,134,1610,1652,3036,621,10041,32356,56045,55434,1628,5039,5663,2419,2282,7033,11529,5781,OR-02
317,375,873,439,182,403,0,121,1165,1461,1388,1047,4245,20155,26945,41161,317,2905,2590,2471,2115,6226,7422,4456,RI-02
565,1247,1791,595,0,997,535,64,1569,2766,2354,810,5888,25499,49281,82956,1813,2067,2977,2642,2505,5654,9836,5864,SC-01
1260,1134,910,940,927,844,526,92,1958,2283,3515,342,7935,25722,42196,63220,2328,3386,3495,2889,3088,6592,10194,5020,SC-04
1321,1709,890,722,538,845,421,0,1734,3267,4274,933,9324,31914,44972,48100,1868,4123,3680,1409,3087,9062,11097,5701,SC-05
1709,1732,1071,611,289,366,412,10,2975,2744,2985,843,6881,25879,39107,59898,2057,3642,3681,2310,1922,6751,8673,9185,SC-02
1184,1534,2062,667,205,1450,204,167,1680,2780,3874,578,4957,43858,56506,66766,1555,5148,4214,2658,2020,4095,9838,5964,SD-00
2926,3992,2628,973,1028,1505,93,13,3269,5037,2751,146,12500,40823,43694,40149,1080,6575,2748,1857,2588,7493,8154,4997,TN-01
1438,1170,471,1307,165,602,233,164,1759,3202,2305,809,7006,21854,27564,61473,2213,3668,3270,3448,2313,7538,11519,9217,TN-05
1621,2556,1309,953,185,118,549,21,571,3642,2841,848,9894,34176,46036,70221,1266,4502,2513,2551,2272,6892,6322,4673,TN-07
1099,4120,1362,722,1091,657,666,265,1538,2793,2492,535,8207,33021,42411,58959,832,3589,3983,2106,4060,7196,7829,5577,TN-02
1414,1448,1354,148,1765,971,726,120,4490,6517,4606,1073,8371,17252,21455,27360,809,3321,4503,1092,4091,9816,17473,10546,TN-09
7154,3906,1529,227,1319,634,928,808,6969,3494,2805,357,18356,23050,29716,31666,2979,3852,4035,2230,6690,6637,7160,6104,TX-28
2580,2503,2147,300,981,306,314,0,2470,4759,5767,549,13693,26287,41821,38317,1330,3980,3913,1786,2447,7101,10352,5193,TX-01
1281,1327,1065,3539,464,0,721,831,1628,1804,1339,766,8914,14629,23453,85296,1987,2239,4015,3950,1846,6804,11201,10225,TX-07
801,1189,1124,851,418,231,317,297,1542,1322,3641,936,11240,25847,46011,58868,1199,5312,4008,4364,2727,8325,15104,7202,TX-06
1233,2048,1063,1008,700,413,836,58,2536,4289,5447,795,11218,25169,38099,52367,1220,3742,4636,1632,2874,6873,7842,6983,TX-17
1641,3929,972,303,621,993,704,0,1747,4163,3844,828,14526,38390,44217,33503,2817,6832,6108,1926,3047,6404,9372,4187,TX-36
3195,2379,2875,931,707,698,891,56,4898,4263,5132,946,12101,21019,31429,31918,1411,3943,5056,3168,5231,6413,11661,8227,TX-16
1019,786,613,3430,151,40,314,162,886,1295,1614,973,12206,17563,32361,85989,1765,3315,4059,6545,2106,6152,9683,8680,TX-24
5988,2045,1183,1221,401,993,81,117,5428,5951,3726,349,34119,22589,16595,11194,8206,4991,2295,1011,10032,8231,7400,3035,TX-33
1841,1549,2363,724,833,538,612,136,1934,1878,2327,570,11952,34789,50503,43723,1444,2832,2987,3027,3322,5879,10410,4259,TX-11
9143,3648,2044,1368,669,920,400,220,8363,3323,3617,1991,24922,23853,29776,29706,2427,2073,3575,2789,7001,6506,8301,6412,TX-15
5471,1643,2209,756,684,105,153,196,5044,4051,3733,525,16101,24796,32638,41821,2443,4178,4217,1583,5016,7140,7608,4861,TX-23
1656,1402,1081,907,374,467,171,0,835,2575,1875,282,10776,32106,49284,59657,1107,4017,4927,2586,1760,8371,11508,7000,TX-12
2319,2097,2274,312,364,368,403,57,2383,2597,1633,799,14789,33254,53381,71498,2787,3974,3094,4158,1754,4080,10240,6377,TX-08
7033,3985,2496,1056,828,1252,737,183,6860,5738,4362,1148,22581,24512,25350,20546,2956,3984,2322,1240,8521,6444,7606,2995,TX-34
4037,2431,981,801,601,1313,352,0,3803,6762,4008,700,19111,23102,24743,24594,2844,5108,4164,1804,5178,8920,16000,8366,TX-30
3941,2113,1607,809,1166,1346,834,154,5905,7927,4028,816,19445,25336,24243,29756,3782,5511,5437,1302,5372,11137,13666,6559,TX-18
2748,1255,869,778,416,84,441,0,2412,3022,1273,932,10216,17509,37291,78635,2238,2694,2943,3423,2493,4856,9202,7562,TX-02
2551,2456,1474,907,239,874,637,143,4583,3104,4082,462,11898,19520,33297,34606,3345,3099,4220,3255,5543,9701,13074,7082,TX-20
733,1456,667,1778,24,329,394,166,2239,1772,1032,1246,4115,20191,39034,83189,1144,2496,3474,4194,1897,4062,7831,8005,TX-21
887,1362,1517,150,203,224,83,328,2249,2389,2854,1122,5372,24433,49492,81562,748,2380,5504,2417,2175,5675,14428,6940,TX-31
1705,2094,1116,949,448,422,651,76,735,1911,2877,465,6570,27953,38555,83576,1101,2685,3261,2424,2750,5254,7952,6368,TX-25
1491,1352,1745,1001,491,474,127,172,1489,1328,2070,991,13529,15639,31681,74613,1262,2625,4621,3862,3091,4773,8274,6933,TX-32
1250,1109,363,1890,0,43,63,102,690,784,2185,906,4684,17400,39686,124984,1781,2091,3281,4345,1745,5445,6934,13123,TX-03
2183,2603,2019,550,606,1170,1353,15,2101,3879,3641,518,11918,33271,51712,48574,1405,3860,3160,1759,3053,6647,10513,4736,TX-04
2291,2357,2061,598,342,1168,646,0,2149,2656,2827,198,12363,32281,40449,36368,2129,3806,4790,1165,2893,6847,7935,3900,TX-13
278,464,1410,1260,0,615,295,108,666,544,1518,999,8111,19936,51964,101843,1563,3221,3557,5582,2281,4887,7632,9930,TX-26
3335,3152,2350,2683,776,443,289,440,4278,4506,4869,2832,21103,20656,26229,32316,5205,3479,4066,1757,4164,7174,11286,11125,TX-09
1168,926,520,743,170,566,136,58,528,2117,1905,253,4315,26798,31468,55096,1533,4196,2510,2932,908,4107,6527,6673,VT-00
865,1297,1733,944,105,8,303,0,732,2547,1881,246,6645,30557,53570,61692,1445,3827,4909,2164,1411,5449,7948,3819,UT-01
690,1030,1699,1803,322,343,358,53,667,1504,2414,247,8414,26602,55000,62928,519,5096,3990,1883,1128,6922,8398,6433,UT-04
868,1501,1734,886,175,237,177,78,1831,1594,1437,615,9165,28162,45403,81000,2087,3340,3225,2464,3094,5835,6715,8530,VA-01
232,366,744,518,32,283,10,0,797,369,491,1014,6658,15072,36700,127364,1586,2267,2893,3839,2422,4599,4298,8773,VA-10
1629,2253,1207,520,110,707,621,219,2554,3231,2938,347,10706,30389,40192,52276,1574,3777,4834,2019,2497,6730,12114,6687,VA-05
786,1222,1171,1264,389,181,478,252,1114,1763,1541,719,6749,23635,39318,85785,1496,4887,3572,2487,2831,5562,8670,7762,VA-07
