Less_than_high_school_graduate,High_school_graduate__includes_equivalency_,Some_college_or_associate's_degree,Bachelor's_degree,Graduate_or_professional_degree,Male_Less_than_high_school_graduate,Male_High_school_graduate__includes_equivalency_,Male_Some_college_or_associate's_degree,Male_Bachelor's_degree,Male_Graduate_or_professional_degree,Female_Less_than_high_school_graduate,Female_High_school_graduate__includes_equivalency_,Female_Some_college_or_associate's_degree,Female_Bachelor's_degree,Female_Graduate_or_professional_degree,stateId
36462,40143,44888,75638,89188,41730,45813,51983,86561,110170,22467,33643,38413,60100,74397,MN-03
25221,31193,40118,57673,75846,31849,35205,42407,65589,86990,21304,27036,35618,50272,67189,MN-05
23317,31560,33466,47474,60782,27294,36698,40877,61592,81349,17327,25176,29197,41274,51269,NC-13
27863,31109,35364,55357,88190,31081,37116,41662,81242,130210,19643,23362,29074,45915,56698,NC-09
28756,34343,41818,51854,61288,38198,43428,51913,62148,71399,20968,23742,31948,46338,57060,ND-00
26521,33933,36012,56612,73283,26568,40598,41875,70694,91937,26429,25341,30753,48548,65006,OH-02
25331,30651,33758,49631,61558,31816,37015,45212,66098,73951,17063,22399,27804,42429,57404,OH-06
21820,32391,40452,49104,66958,31858,41105,51924,57012,80786,16165,25050,30860,45387,64044,OH-04
29596,32432,40572,56988,76179,36636,41380,51040,70106,84075,19875,25228,30719,48166,68045,OH-16
20433,27080,32315,51257,69530,24831,30336,40003,55613,80840,14427,24276,30134,46107,60485,OH-11
24473,34284,38206,58587,74057,30946,44281,50342,79160,90542,21002,26928,30415,50186,65978,OH-08
25673,32137,36592,50637,65037,30934,39079,46551,65468,85386,19394,25522,30323,41918,51879,OK-01
23701,31183,35650,50198,73498,26366,38234,41640,61227,95561,19422,24552,30150,41465,56428,OK-05
25997,31440,40013,54380,71032,30164,36390,44578,62443,84399,20551,26589,33323,47156,63258,OR-03
25917,31005,35199,44512,56510,30629,37165,41849,54138,66846,21650,25481,28652,36806,51345,OR-04
