Income_in_the_past_12_months_below_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_below_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Female_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Bachelor's_degree_or_higher,stateId
6580,9411,2336,2340,6795,12999,11006,1701,22472,66933,64107,58035,18482,66813,78899,68920,GA-03
4922,5915,2610,1913,8030,11014,7745,3000,24141,63393,62583,62131,18428,65810,61938,78590,GA-10
5677,8801,3714,1788,7896,8439,8767,3270,25251,62592,61790,62691,24054,55242,83724,91620,GA-04
4937,12035,6251,6674,10542,14968,10591,8117,19477,48167,46841,110662,13703,38288,50211,129317,GA-05
10424,8156,3388,2088,10568,12514,7869,2113,36029,71544,64978,57435,25730,69400,75025,66406,GA-09
3073,3523,5568,2820,4976,7468,3782,4704,25137,44293,60741,110497,24976,46390,65477,126710,GA-07
2645,2651,1526,3622,3705,3353,3727,6023,12274,23692,37548,162840,9071,28194,50814,164305,GA-06
5320,9087,3554,3274,7268,11968,14069,3572,21875,63703,65366,53892,18425,60334,74788,69781,GA-01
3469,4043,5128,4512,6531,5804,6100,3633,21179,48575,62732,103553,18156,48293,70746,116475,GA-11
6837,11806,6224,1163,11875,15200,10167,2686,23311,60441,58539,44562,16667,66171,60431,57272,GA-08
4651,7641,7005,2625,6206,7916,11526,4313,20760,64507,80021,79643,14898,53887,92276,78392,ID-02
2774,6278,3769,2113,4354,7537,5283,3503,14268,58408,76118,84383,19120,51529,71395,97895,HI-01
6011,7742,7168,4666,10051,10723,14027,5531,20325,53000,61872,57282,14940,52021,72925,84703,IL-01
9223,11370,5228,5550,14434,14349,12102,7126,20027,39536,36757,105218,19977,38902,51738,112063,IL-07
7038,8819,6698,2180,7582,13618,13458,3705,18857,58737,59421,40926,14888,56537,80973,59265,IL-02
3206,3502,2103,6539,4171,6119,4046,6013,15890,38798,49273,143127,14560,36974,49264,147420,IL-05
6181,9835,6392,2353,4687,11722,9075,4796,10155,57029,55847,62104,10113,57476,62900,71072,IL-13
1781,2052,2343,2783,1750,2520,3258,3839,9072,37900,55858,125996,9177,41203,61414,129731,IL-06
2686,2786,3606,2107,4831,6195,4389,2760,22367,43173,48805,98762,21433,40922,55975,103397,IL-10
5074,6106,3435,3413,11760,9817,5504,3033,45587,63221,42581,58148,41601,49506,42322,61321,IL-04
4939,3663,4649,5629,5159,5872,5322,6721,14670,30625,46442,132149,15644,34788,46444,139328,IL-09
4941,7678,6081,1803,7501,10487,10645,3046,15388,63242,70837,48890,13749,58280,80179,58348,IL-12
2963,4300,2447,2977,4486,6136,6211,3746,26547,56438,62470,79292,23922,53661,64387,84312,IL-08
2632,6541,3407,2868,5780,10918,6692,3102,16988,78972,67252,62209,15337,73296,76733,69379,IN-09
3976,8760,3897,1404,4838,11972,8918,3331,19716,81899,64389,46489,16374,74135,67954,56013,IN-08
3920,7553,4164,2233,4788,10725,11598,3443,18079,82472,60260,48778,15943,74561,73760,59425,IN-01
2478,6334,3390,3208,4445,7811,6342,3980,11433,51008,51825,122379,11066,49652,67231,126636,IN-05
7657,12044,5380,2806,11949,14375,8704,4521,30040,70326,51954,53366,25331,66823,67477,64660,IN-07
2845,7432,5120,2111,4702,11991,10029,2782,14278,83494,70564,63372,11347,69257,78962,75160,IA-01
3510,9014,6169,3326,5649,10790,7650,3291,16881,79735,69847,64321,13059,63674,83078,77886,IA-02
3224,5735,4764,2150,4149,7792,8548,3086,18906,61450,66138,51191,16868,48624,71967,58194,KS-01
2942,3841,4008,2862,4181,5910,6873,3433,15131,42844,57896,120951,13814,42891,64799,126247,KS-03
