total,noIncome,$1-9k,$10-15k,$15-25k,$25-35k,$35-50k,$50-65k,$65-75k,$75k-more,stateId
621637,81881,72674,37016,77823,66211,72781,64275,23531,125445,TX-32
678486,84187,89795,44301,78282,74538,80734,68420,27108,131121,TX-21
683988,111840,76803,34376,62509,55675,68190,64702,27819,182074,TX-03
598631,90606,88024,52645,84398,68070,70997,53912,17972,72007,TX-04
562952,86285,85450,49111,80331,67473,69683,49601,17335,57683,TX-13
682662,88043,88365,39107,71289,64674,74542,73600,28730,154312,TX-26
612914,112971,88804,50456,97193,78727,71917,48287,16502,48057,TX-09
529189,38636,82897,45435,71830,66670,77045,56861,21029,68786,VT-00
565966,73232,95724,42164,68402,64626,71683,54157,20439,75539,UT-01
593223,75322,87417,40469,69372,72911,80026,58519,23691,85496,UT-04
638368,74107,82738,40665,70616,64109,76912,62627,26511,140083,VA-01
655808,82215,78852,33258,55517,49450,59355,56460,25781,214920,VA-10
616428,77176,98503,54992,86730,70782,79430,52518,21060,75237,VA-05
635099,73779,82540,42284,72262,63120,85508,68071,27628,119907,VA-07
636274,82399,79053,31208,54320,49111,62050,56288,26776,195069,VA-11
601230,77794,116143,64864,92991,69216,74426,46633,15339,43824,VA-09
653139,66119,64729,29840,56276,52811,59663,60540,31490,231671,VA-08
590887,72531,83924,45527,77698,66096,76263,55483,23632,89733,WA-03
600680,76766,78275,40639,73045,69214,82554,63409,27044,89734,WA-10
549602,74971,83568,45595,82763,70215,68328,45012,18209,60941,WA-04
677062,54422,77964,36660,59825,63084,77300,71410,31237,205160,WA-07
612513,73399,77090,38146,63526,63642,75596,60336,24845,135933,WA-09
597208,73434,78954,36304,62490,60519,70354,56728,25770,132655,WA-08
513925,66877,92362,47354,78926,60632,61917,41045,15944,48868,WV-01
513379,65210,82629,45482,75548,65754,63055,44711,16600,54390,WV-02
595777,46539,100963,54069,85005,76945,91495,61359,21990,57412,WI-03
560080,73077,89458,56292,83678,66166,74258,48639,17836,50676,WI-04
583105,41258,82131,54142,87800,79055,92959,60465,23128,62167,WI-07
589905,50275,81226,47775,81981,75486,93458,67216,24312,68176,WI-06
594274,45313,80730,48895,81790,78682,93664,68642,24857,71701,WI-08
,,,,,,,,,,PR-98
612999,91542,96629,61497,93986,76776,77749,46976,17385,50459,MS-01
604574,97624,103279,56791,86585,66256,70472,46298,18097,59172,MS-03
618284,95239,105154,61558,94993,70096,72311,47318,17595,54020,MS-04
558309,106183,107672,57999,89265,63548,58563,32779,10714,31586,MS-02
593791,53875,100401,47493,82765,71045,77176,57732,21987,81317,PA-18
599848,62147,90236,47349,84807,71089,76424,57947,24158,85691,PA-07
580971,89684,115463,50995,80173,65063,69148,43058,18354,49033,PA-02
593202,50790,76492,40187,75813,68502,81074,62376,26895,111073,PA-17
591720,59182,74177,37148,69510,58233,69955,60564,27528,135423,PA-01
572461,57084,100696,50079,86978,70948,73310,51624,20129,61613,PA-16
582838,63016,93050,54795,88370,73114,76072,52679,20158,61584,PA-08
599312,56490,82955,42989,80906,71949,87524,63804,26259,86436,PA-10
582760,57370,90939,53540,90168,77046,82130,57315,19856,54396,PA-13
590616,56022,87028,45684,81350,71002,82954,62450,26826,77300,PA-11
589789,65028,87422,49717,84800,74572,81858,60527,23437,62428,PA-09
597344,61121,74329,35514,64219,56126,70797,61866,27609,145763,PA-04
575780,62682,98717,52373,92006,74468,77943,51203,19352,47036,PA-15
584940,73781,90447,40312,70859,59296,67579,52749,23811,106106,PA-05
609304,88436,111852,50101,76210,61932,66460,50829,20008,83476,PA-03
631021,75521,102554,60268,104285,84495,87941,49826,16689,49442,MO-07
621963,68077,93487,51489,84871,77078,85201,61514,23097,77149,MO-06
601963,76646,116502,64947,99216,74878,71659,43455,15123,39537,MO-08
636969,65941,86346,48648,89077,80192,95151,67210,24596,79808,MO-03
624875,71650,109933,58877,95466,78082,84941,52297,18666,54963,MO-04
860460,73932,140197,80859,130710,111227,116271,78566,30159,98539,MT-00
482057,36148,77146,42806,71881,68149,72719,49578,17104,46526,NE-03
560935,94660,84436,51414,94101,83606,74036,34435,11574,32673,NV-01
664548,86824,74634,41961,81690,76033,90445,67983,28627,116351,NV-03
585770,66663,73537,44113,79880,74227,78681,58012,24784,85873,NV-02
563760,48212,75953,39812,75087,65555,76474,59176,24558,98933,NH-02
592111,68268,83969,44168,72934,60255,69174,60269,26497,106577,NJ-01
606533,105934,92044,44741,78071,63597,65535,54163,20249,82199,NJ-10
606499,77359,72629,34318,58772,50007,58920,57974,26621,169899,NJ-05
606246,74316,71467,34197,54724,48623,53464,53637,27031,188787,NJ-07
612935,106091,75018,44426,75050,61629,65956,53911,22610,108244,NJ-09
602316,104844,74631,36898,65984,53827,62463,53385,24344,125940,NJ-06
611515,86722,81252,35077,68899,55323,61175,54258,24994,143815,NJ-12
572181,76232,90347,51889,80652,68557,66677,46801,18375,72651,NM-01
559853,89003,94147,50326,77515,60603,62859,44259,16886,64255,NM-03
584242,73369,71244,39764,65007,56788,65726,57751,24449,130144,NY-02
593167,56016,91585,51043,78580,71197,77925,58757,25317,82747,NY-25
601494,84067,70497,35309,55202,45133,54329,49376,23660,183921,NY-03
607729,84259,74141,39134,56916,39588,43761,43144,20212,206574,NY-10
634470,102510,114962,63847,90612,62972,64280,47279,19004,69004,NY-13
589695,62178,94451,53265,84492,69278,78188,57033,23652,67158,NY-26
592749,96640,78578,46864,69795,60718,66098,52718,22994,98344,NY-09
597808,78714,68122,39643,63747,53933,65530,57061,25536,145522,NY-01
586023,105113,91623,50469,73448,52525,55082,44579,17136,96048,NY-07
589762,82222,75172,37477,63191,49454,56967,47167,22558,155554,NY-17
609838,106085,82090,44612,75201,59614,63167,53817,23434,101818,NY-06
631880,111397,86498,48372,77332,68094,77530,58105,22612,81940,NY-05
609447,91876,85664,42860,67402,56705,63007,53088,23283,125562,NY-16
597221,104081,81244,43097,64627,51391,59300,52478,23764,117239,NY-11
571456,121198,124915,67197,84670,55959,53879,30455,9518,23665,NY-15
580463,68758,100398,52742,85977,68879,73238,53696,20299,56476,NY-23
633774,109348,95619,52802,75161,61574,68449,54791,21371,94659,NY-08
647726,68396,57428,28948,43488,36244,51239,62507,30454,269022,NY-12
588449,79238,77401,41839,66046,57154,62773,50549,23160,130289,NY-18
622097,88270,107402,61631,93032,74262,75311,49058,16849,56282,NC-01
658954,80246,110839,65174,101670,78607,83929,55681,17283,65525,NC-07
661154,86210,90696,49499,82287,68900,84274,62790,24578,111920,NC-02
626577,82994,89406,60398,99053,77746,80948,54588,19105,62339,NC-06
617774,71037,95176,55026,104183,80649,80508,54226,17638,59331,NC-03
628717,79030,93870,62301,101934,81959,83050,52967,17065,56541,NC-10
701805,89190,96181,41462,80432,73334,87567,66799,28306,138534,NC-04
626066,86348,102876,58353,94678,76789,82927,50167,16916,57012,NC-05
639550,69825,97924,69454,107232,85079,88539,51649,17585,52263,NC-11
629393,84218,91923,54405,94827,78501,85330,53129,19414,67646,NC-08
691603,90684,90370,49588,91626,80814,93057,65699,24219,105546,NC-12
593090,65730,92481,45817,77210,65150,74695,54899,23753,93355,OH-01
588983,60218,92390,49116,91651,75703,80111,55970,21415,62409,OH-07
593150,59010,80236,43092,76507,70540,77083,60725,25642,100315,OH-14
623722,70638,111736,51720,88250,84763,84456,56624,20259,55276,OH-03
591359,59720,102366,48661,82135,70451,77502,54160,21781,74583,OH-10
589208,51561,90125,45045,82154,74617,87965,61346,23685,72710,OH-05
593565,60168,106791,56888,94387,76245,81541,51584,18586,47375,OH-13
626216,75530,96439,45417,77323,69635,81847,63220,25916,90889,OH-15
576658,63347,101566,56408,88579,72197,77027,49044,17645,50845,OH-09
630794,61984,95045,44201,74338,66842,77126,61742,28078,121438,OH-12
603514,91808,105959,65303,95850,72933,70506,43740,14989,42426,OK-02
621615,87377,106352,54282,89366,71422,79857,50868,19052,63039,OK-03
634211,81091,100497,52371,87765,77931,85039,56105,22222,71190,OK-04
687660,80912,92052,45550,82238,72696,82631,62686,28736,140159,OR-01
671923,77693,99962,52891,91507,78360,85454,60905,26726,98425,OR-05
671211,74708,108904,59755,104863,84916,87683,56894,21691,71797,OR-02
442362,43058,65038,34664,55176,46153,56870,46926,20896,73581,RI-02
643091,70050,79663,46685,81740,75246,88470,68855,26986,105396,SC-01
587737,70256,91151,51097,87871,71186,75183,51658,18609,70726,SC-04
580177,78345,87588,53294,86375,70898,72946,50252,19108,61371,SC-05
580297,71047,86650,45783,76208,67767,78376,55651,21534,77281,SC-02
690320,54532,111198,55758,93507,92780,111014,73358,24308,73865,SD-00
600040,71807,105326,67453,104363,75702,70835,44308,15996,44250,TN-01
629471,65105,85457,48310,83233,83304,94115,62539,21701,85707,TN-05
617323,89244,94931,52272,84179,68738,73953,49867,19366,84773,TN-07
619027,71720,101163,57144,91430,74509,78889,52469,18939,72764,TN-02
553961,86018,87262,56625,88440,71436,66279,41374,14737,41790,TN-09
556954,115375,102674,52923,77347,55607,52448,39527,14758,46295,TX-28
573595,86971,97602,52357,87362,65876,66793,45688,16303,54643,TX-01
616436,98337,66862,37429,71011,58174,63176,58137,21651,141659,TX-07
619263,88679,83424,42259,73760,70053,77173,67948,26272,89695,TX-06
624413,94693,105899,52148,83119,69408,71852,54286,19298,73710,TX-17
589167,103214,85057,44941,74123,59455,63106,54192,19513,85566,TX-36
466549,43270,69415,37464,61751,56762,62058,47599,18760,69470,WY-00
580426,57879,91254,49076,84370,69344,74633,54827,22461,76582,PA-14
588135,61765,87527,38608,65691,59162,66332,54540,23743,130767,PA-06
586490,64415,106121,52144,88585,73040,74384,51869,19899,56033,PA-12
630521,60401,76807,38353,67483,63646,80089,65774,28140,149828,MO-02
593256,65747,98112,51038,87970,76246,78456,53440,20545,61702,MO-01
619780,63788,85785,52549,92719,82032,93504,59942,22644,66817,MO-05
514461,41369,81562,39895,67513,66356,78310,54841,22602,62013,NE-01
521279,51092,71016,35997,62275,59116,74083,58439,22922,86339,NE-02
593677,95279,77794,45061,78294,74781,81832,51720,19807,69109,NV-04
