total,veteran,veteranNoHighSchoolGrad,veteranHighSchoolGrad,veteranSomeCollege,veteranBachelorsOrHigher,nonVeteran,nonVeteranNoHighSchoolGrad,nonVeteranHighSchoolGrad,nonVeteranSomeCollege,nonVeteranBachelorsOrHigher,stateId
502972,57351,2672,14061,25854,14764,445621,41240,118123,168113,118145,WA-03
490235,74560,2175,16162,33343,22880,415675,40108,110428,148462,116677,WA-10
449857,38367,2381,9704,16505,9777,411490,88611,111553,125662,85664,WA-04
581512,34343,1021,5336,11554,16432,547169,27022,56731,121983,341433,WA-07
525982,34298,1214,7161,13306,12617,491684,51686,92378,132387,215233,WA-09
502346,48205,1882,11713,20731,13879,454141,41467,107245,142378,163051,WA-08
427489,43201,3352,17173,15064,7612,384288,40501,151508,99112,93167,WV-01
442075,46753,3682,18006,15143,9922,395322,51413,158208,99782,85919,WV-02
476550,45958,2806,16869,16845,9438,430592,31837,141096,143142,114517,WI-03
453015,25423,1897,8000,9791,5735,427592,61981,123305,120046,122260,WI-04
505269,50233,3679,18627,17857,10070,455036,36256,155806,153604,109370,WI-07
498295,43437,2718,16937,14918,8864,454858,34561,153744,143400,123153,WI-06
505127,44233,2873,16838,15334,9188,460894,33957,154106,147177,125654,WI-08
2344266,75511,7872,22314,20488,24837,2268755,542310,633234,511977,581234,PR-98
504054,38649,3600,11693,15719,7637,465405,77273,146795,143724,97613,MS-01
498031,36234,2725,10432,13750,9327,461797,68038,133236,139902,120621,MS-03
509666,59247,3516,15434,26451,13846,450419,65541,139791,148542,96545,MS-04
457329,28953,2746,9174,10524,6509,428376,82650,134110,131312,80304,MS-02
496135,41534,2610,15025,13837,10062,454601,28520,126802,119440,179839,PA-18
500677,39313,2949,15582,11275,9507,461364,48376,152523,120986,139479,PA-07
487801,26139,3024,10476,8247,4392,461662,90238,170785,101896,98743,PA-02
522366,44772,2583,16365,14193,11631,477594,23099,126956,123466,204073,PA-17
505889,37542,2129,13474,10265,11674,468347,29529,127644,112232,198942,PA-01
479487,49375,3435,20962,14994,9984,430112,37496,168343,103489,120784,PA-16
494516,46500,3412,20085,14479,8524,448016,44498,166436,122939,114143,PA-08
507320,47428,2807,17168,14859,12594,459892,44028,155630,112968,147266,PA-10
498044,53047,3983,23924,15054,10086,444997,49363,200305,105709,89620,PA-13
499741,41635,3421,16300,11937,9977,458106,64091,167240,104969,121806,PA-11
499901,48124,3802,22201,13967,8154,451777,50617,193637,109676,97847,PA-09
511758,34931,2126,12009,8977,11819,476827,26696,113576,103587,232968,PA-04
488464,50951,4015,24918,14626,7392,437513,41464,202093,102414,91542,PA-15
488005,31185,1948,11851,8545,8841,456820,40022,137499,104751,174548,PA-05
503118,28154,2670,10405,8253,6826,474964,53578,126467,102615,192304,PA-03
518536,51848,3653,16755,19706,11734,466688,53668,150107,147350,115563,MO-07
518603,50657,3321,17724,17366,12246,467946,41195,157355,133395,136001,MO-06
507785,54110,5900,21525,18622,8063,453675,76357,173185,128579,75554,MO-08
537613,54008,3681,18372,19369,12586,483605,46003,153025,152909,131668,MO-03
495045,58804,3888,19278,22176,13462,436241,48290,150231,125973,111747,MO-04
721637,84146,4183,24855,31536,23572,637491,42461,183533,203977,207520,MT-00
403989,37435,2772,13917,14300,6446,366554,36827,112933,131825,84969,NE-03
468315,36013,2330,10026,16694,6963,432302,102914,140717,120731,67940,NV-01
577551,55233,1975,12198,23448,17612,522318,37699,133210,179121,172288,NV-03
499007,55585,2264,13913,24371,15037,443422,55043,115119,154284,118976,NV-02
478033,47409,2391,14696,15085,15237,430624,31305,120096,120063,159160,NH-02
500105,33815,2716,12169,10636,8294,466290,47023,141688,125371,152208,NJ-01
503664,17150,1759,6061,5187,4143,486514,68083,149549,121428,147454,NJ-10
513237,27280,1530,8895,7855,9000,485957,30938,109030,107037,238952,NJ-05
514200,25818,1260,7269,6930,10359,488382,27969,98660,96454,265299,NJ-07
518525,16230,1419,5654,4483,4674,502295,71368,155808,102747,172372,NJ-09
496566,21260,1827,7679,6455,5299,475306,53071,124693,103562,193980,NJ-06
516105,22951,1438,6901,6476,8136,493154,49268,116289,98020,229577,NJ-12
480659,49218,1909,10414,18514,18381,431441,54353,104314,130309,142465,NM-01
468424,44930,2525,10428,17474,14503,423494,58503,115207,135873,113911,NM-03
489737,26563,1651,9686,9044,6182,463174,51622,136364,125601,149587,NY-02
493714,32809,1914,9028,11769,10098,460905,46724,106311,128091,179779,NY-25
517662,23581,1272,6331,6233,9745,494081,33967,91920,99490,268704,NY-03
527265,11643,930,2424,2432,5857,515622,60543,72751,63573,318755,NY-10
538737,12091,1406,3956,3519,3210,526646,133921,118065,106595,168065,NY-13
491376,38299,2881,12775,13817,8826,453077,45166,124924,134761,148226,NY-26
508621,9579,896,2347,3313,3023,499042,68525,129583,105798,195136,NY-09
501278,32498,1866,10425,11217,8990,468780,39283,128900,128384,172213,NY-01
497856,8605,1304,2558,2455,2288,489251,129429,113862,75447,170513,NY-07
490806,21113,1221,5648,6247,7997,469693,54746,93425,99772,221750,NY-17
539532,12826,1177,3543,4023,4083,526706,87263,132768,112578,194097,NY-06
529137,16408,1566,5020,6101,3721,512729,92295,148410,137113,134911,NY-05
513699,19366,1575,4895,6028,6868,494333,74891,112037,108166,199239,NY-16
