total,belowPovertyLevel,belowPovertyLevelMarried,belowPovertyLevelMarriedNoHighSchoolGrad,belowPovertyLevelMarriedHighSchoolGrad,belowPovertyLevelMarriedSomeCollege,belowPovertyLevelMarriedBachelorsOrHigher,belowPovertyLevelSingleParent,belowPovertyLevelSingleParentDad,belowPovertyLevelSingleParentDadNoHighSchoolGrad,belowPovertyLevelSingleParentDadHighSchoolGrad,belowPovertyLevelSingleParentDadSomeCollege,belowPovertyLevelSingleParentDadBachelorsOrHigher,belowPovertyLevelSingleParentMom,belowPovertyLevelSingleParentMomNoHighSchoolGrad,belowPovertyLevelSingleParentMomHighSchoolGrad,belowPovertyLevelSingleParentMomSomeCollege,belowPovertyLevelSingleParentMomBachelorsOrHigher,atOrAbovePovertyLevel,atOrAbovePovertyLevelMarried,atOrAbovePovertyLevelMarriedNoHighSchoolGrad,atOrAbovePovertyLevelMarriedHighSchoolGrad,atOrAbovePovertyLevelMarriedSomeCollege,atOrAbovePovertyLevelMarriedBachelorsOrHigher,atOrAbovePovertyLevelSingleParent,atOrAbovePovertyLevelSingleParentDad,atOrAbovePovertyLevelSingleParentDadNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadSomeCollege,atOrAbovePovertyLevelSingleParentDadBachelorsOrHigher,atOrAbovePovertyLevelSingleParentMom,atOrAbovePovertyLevelSingleParentMomNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomSomeCollege,atOrAbovePovertyLevelSingleParentMomBachelorsOrHigher,stateId
180801,16460,5909,1315,2000,1704,890,10551,1914,448,656,660,150,8637,1849,2870,3284,634,164341,130460,7339,27355,45105,50661,33881,11558,1578,3332,4007,2641,22323,1984,5082,9540,5717,KS-04
197452,21822,8662,2492,3025,2259,886,13160,2741,858,1051,689,143,10419,1743,4079,4163,434,175630,140213,10949,44528,45348,39388,35417,12287,1481,5664,3768,1374,23130,2203,7160,9138,4629,KY-02
185339,24832,10190,2706,4030,2636,818,14642,2712,727,1382,517,86,11930,2446,4961,3936,587,160507,130621,11845,45510,42563,30703,29886,10567,1600,4786,2837,1344,19319,2077,6819,7516,2907,KY-01
179413,18818,4758,898,1703,1251,906,14060,1764,461,544,603,156,12296,2668,3747,4952,929,160595,116782,5977,23897,33873,53035,43813,12959,1238,4611,4034,3076,30854,2625,7571,13076,7582,KY-03
195877,17746,6061,1816,2299,1414,532,11685,2234,778,808,516,132,9451,2115,3110,3697,529,178131,144164,7830,35241,45331,55762,33967,11558,1372,4172,3710,2304,22409,2243,6351,8171,5644,KY-04
166755,30810,6569,2266,2056,1732,515,24241,3057,1004,1211,620,222,21184,5485,7932,6842,925,135945,85389,8172,23054,26023,28140,50556,12295,2192,4606,3404,2093,38261,5286,10419,13631,8925,LA-02
193600,17084,4296,1166,1499,1150,481,12788,2142,737,516,776,113,10646,2498,3643,3668,837,176516,136325,8673,37827,38305,51520,40191,12579,1891,4258,3845,2585,27612,2381,7589,9421,8221,LA-06
193982,27480,7951,2575,2892,1855,629,19529,2824,1054,1106,469,195,16705,3993,6954,4877,881,166502,127081,11465,42064,35530,38022,39421,12464,2338,5120,3251,1755,26957,3521,9821,8771,4844,LA-03
176292,9981,3701,493,1516,820,872,6280,1201,359,324,426,92,5079,573,1708,2194,604,166311,136259,4011,27927,38690,65631,30052,10100,696,3422,3468,2514,19952,1261,5846,6441,6404,ME-01
167499,19186,7375,1365,2750,2150,1110,11811,1877,425,553,781,118,9934,1730,3587,4014,603,148313,114328,6400,27083,36842,44003,33985,10290,1019,3572,3591,2108,23695,1563,6705,9296,6131,FL-03
123683,15141,2005,571,502,558,374,13136,1398,348,674,112,264,11738,3143,5053,2841,701,108542,71879,3222,5447,6985,56225,36663,8569,1106,2161,1995,3307,28094,3223,8405,8166,8300,DC-98
198571,18327,10241,2456,4086,2202,1497,8086,1391,313,683,247,148,6695,1452,2759,2160,324,180244,149073,10709,43602,47895,46867,31171,9730,1845,3690,2478,1717,21441,1997,7698,7885,3861,FL-17
193267,17337,7150,1084,2350,2369,1347,10187,2418,638,1006,560,214,7769,1195,2709,3114,751,175930,138656,8707,35617,49797,44535,37274,12573,1375,4585,4360,2253,24701,2208,7295,10106,5092,FL-06
161489,26591,6458,1591,2385,1937,545,20133,2578,557,1121,754,146,17555,4241,6460,6071,783,134898,85762,7222,23021,30672,24847,49136,12221,2134,4089,4285,1713,36915,3498,10345,14700,8372,FL-05
156954,27553,8809,2626,2916,1613,1654,18744,2978,964,1290,560,164,15766,4191,6411,3891,1273,129401,74479,11953,21287,20310,20929,54922,15516,3245,5099,4239,2933,39406,6619,11037,13884,7866,FL-24
214215,18712,8735,1463,3164,2820,1288,9977,1881,370,783,633,95,8096,1788,2928,2791,589,195503,162629,10217,44732,59411,48269,32874,10063,1652,3423,3453,1535,22811,2204,7813,8800,3994,FL-11
183773,14188,6780,820,1530,1760,2670,7408,768,139,107,243,279,6640,995,1633,2409,1603,169585,127005,5487,19920,35667,65931,42580,12188,1079,2831,4220,4058,30392,2099,6402,10645,11246,FL-23
186027,14277,6249,1099,2078,1716,1356,8028,1703,337,838,433,95,6325,848,2109,2530,838,171750,139592,6474,29594,46955,56569,32158,9278,904,2492,3693,2189,22880,1925,5721,8901,6333,FL-08
192517,13817,6518,1443,2132,1666,1277,7299,1226,238,553,233,202,6073,1406,1742,2160,765,178700,143219,8723,29327,45436,59733,35481,10652,1706,3309,2834,2803,24829,2770,6072,8810,7177,FL-18
165739,24984,8106,2727,2508,1823,1048,16878,2884,999,1131,443,311,13994,3852,4925,4232,985,140755,85403,9950,23093,25949,26411,55352,15977,2690,5358,5172,2757,39375,5066,11861,14241,8207,FL-20
183032,24352,10940,4154,2585,1986,2215,13412,2781,947,859,493,482,10631,2674,3755,2733,1469,158680,112750,16545,27682,28469,40054,45930,14977,3249,4481,3959,3288,30953,5477,9046,9186,7244,FL-25
170759,15517,6004,1130,2472,1708,694,9513,2352,445,1042,734,131,7161,740,3036,2900,485,155242,126169,5904,37363,43041,39861,29073,10612,1003,4620,3337,1652,18461,882,4866,7595,5118,ME-02
192989,11000,4117,858,1331,1069,859,6883,1217,369,430,293,125,5666,1293,1747,2138,488,181989,146707,7052,34591,42799,62265,35282,11260,1358,4288,3258,2356,24022,2104,6712,8908,6298,MD-01
180486,9250,3128,573,848,597,1110,6122,640,202,211,95,132,5482,1169,1882,1704,727,171236,131350,5937,17800,26973,80640,39886,11454,1347,3315,3075,3717,28432,2218,5967,9658,10589,MD-03
176925,10109,2670,734,687,607,642,7439,1527,401,554,377,195,5912,1626,1942,1796,548,166816,109750,9852,19227,28431,52240,57066,15628,3569,4190,4316,3553,41438,2978,11195,15185,12080,MD-04
186892,7992,2537,659,825,517,536,5455,936,226,498,123,89,4519,612,1613,1819,475,178900,135129,7108,27241,40209,60571,43771,10708,1112,3354,3637,2605,33063,1940,8010,12540,10573,MD-05
160868,17300,3094,656,895,657,886,14206,1837,671,535,462,169,12369,3097,4891,3419,962,143568,95464,4079,13948,19460,57977,48104,10107,1274,3180,3031,2622,37997,3775,9957,13321,10944,MD-07
184339,13905,3869,660,1509,849,851,10036,1426,246,586,394,200,8610,1477,3672,2826,635,170434,118104,7259,24791,34304,51750,52330,14460,1697,4395,4629,3739,37870,2614,9495,13906,11855,MD-02
193478,12193,4755,1156,1233,1195,1171,7438,1335,226,411,562,136,6103,1358,2149,2227,369,181285,142856,7823,23704,32579,78750,38429,11370,1207,2963,3540,3660,27059,2457,5808,8150,10644,MD-06
192189,7859,3214,718,755,549,1192,4645,771,299,167,225,80,3874,764,1304,1028,778,184330,151851,7796,16381,26023,101651,32479,10690,1716,2443,2238,4293,21789,1969,4145,6184,9491,MD-08
195401,8841,3337,517,594,984,1242,5504,516,104,81,240,91,4988,627,1490,1968,903,186560,154976,5446,20239,31468,97823,31584,9195,1061,2579,2497,3058,22389,1523,4757,6805,9304,MA-04
152939,21701,5202,2060,1417,746,979,16499,1830,675,516,460,179,14669,3672,5454,4372,1171,131238,83313,9090,14975,14960,44288,47925,13738,2542,4542,3301,3353,34187,5061,9263,11271,8592,MA-07
177449,11607,3989,873,1143,997,976,7618,874,244,317,258,55,6744,1547,2451,2000,746,165842,129187,5181,26061,32658,65287,36655,10475,886,3563,3088,2938,26180,2022,6574,8652,8932,MA-02
194272,12272,3975,763,1341,979,892,8297,1388,474,662,202,50,6909,1260,2659,2388,602,182000,142755,8584,30595,38637,64939,39245,11043,1212,4188,2917,2726,28202,2597,7602,9742,8261,MA-09
197629,10048,3141,547,930,561,1103,6907,1119,246,446,284,143,5788,984,2022,2059,723,187581,151833,6590,24747,33284,87212,35748,10405,1183,3032,2365,3825,25343,2105,6258,8419,8561,MA-06
182315,10306,3340,918,962,593,867,6966,984,195,300,335,154,5982,1390,2024,1834,734,172009,134892,6695,22192,29081,76924,37117,10609,1101,2644,2948,3916,26508,2169,6207,8796,9336,MA-08
180696,18495,4856,1318,1422,1374,742,13639,1491,456,621,348,66,12148,3671,3801,3987,689,162201,117315,6654,27748,34964,47949,44886,13401,1694,5225,3985,2497,31485,3129,8557,11995,7804,MA-01
187651,8747,3601,653,931,741,1276,5146,832,220,163,206,243,4314,809,1556,1139,810,178904,146969,5355,19038,21070,101506,31935,10407,1019,2845,2176,4367,21528,1860,4554,5763,9351,MA-05
184932,15699,6513,658,2395,2536,924,9186,1988,508,725,667,88,7198,1349,2540,2777,532,169233,141381,5834,37486,49601,48460,27852,10565,773,4257,3738,1797,17287,1244,5183,7083,3777,MI-01
188240,15003,5218,1060,1708,1569,881,9785,1446,295,713,392,46,8339,1592,2958,3297,492,173237,139242,7131,34690,47752,49669,33995,11715,1813,3897,3959,2046,22280,1793,6212,10067,4208,MI-02
158467,26404,6935,1754,2013,1815,1353,19469,3005,823,1150,1006,26,16464,3953,5460,6140,911,132063,82489,5039,12176,22861,42413,49574,12034,1619,3365,4338,2712,37540,3325,8858,16309,9048,MI-14
186504,15820,5173,1113,1681,1529,850,10647,2091,574,807,649,61,8556,1970,2944,3309,333,170684,137062,6316,28862,43801,58083,33622,12093,1461,3907,4310,2415,21529,1780,6111,7995,5643,MI-03
177621,25145,6636,1281,2625,2107,623,18509,3381,986,1255,949,191,15128,2645,5901,5965,617,152476,113637,5847,29804,46354,31632,38839,11747,1170,4610,4063,1904,27092,2606,7173,12405,4908,MI-05
181195,16762,6745,1179,2691,2153,722,10017,2002,481,915,563,43,8015,1150,2867,3517,481,164433,135476,7228,37879,49654,40715,28957,10628,1220,4333,3529,1546,18329,1329,5497,7677,3826,MI-04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI-ZZ
181104,16004,6121,1804,1833,1560,924,9883,1709,273,782,424,230,8174,1483,2727,3311,653,165100,122140,7356,25980,40492,48312,42960,13449,1537,4111,4786,3015,29511,2546,8032,12368,6565,MI-09
165304,16879,7539,2024,1982,2151,1382,9340,1504,396,549,332,227,7836,1711,2513,2803,809,148425,112816,6516,22233,33244,50823,35609,10852,1102,3460,3637,2653,24757,2136,6455,9810,6356,MI-12
176210,11837,4521,854,1694,1368,605,7316,1507,349,568,504,86,5809,1324,1619,2570,296,164373,138420,6849,37103,54121,40347,25953,10409,1322,4255,3747,1085,15544,1293,4174,7118,2959,MN-07
184691,7425,2863,638,797,815,613,4562,626,100,183,289,54,3936,851,1229,1464,392,177266,147701,4379,30325,55140,57857,29565,11832,813,3989,4810,2220,17733,1091,4158,8096,4388,MN-06
175651,12081,4296,528,1561,1633,574,7785,1351,261,404,534,152,6434,1085,1816,3174,359,163570,135353,5017,34487,53742,42107,28217,11494,844,4116,4811,1723,16723,927,4228,8331,3237,MN-08
190830,5990,2444,417,610,631,786,3546,615,23,214,220,158,2931,733,596,1254,348,184840,154412,2902,17270,39887,94353,30428,9716,590,2106,3297,3723,20712,1308,3643,7838,7923,MN-03
147665,13731,3897,1249,977,964,707,9834,1328,411,174,581,162,8506,2585,2382,2886,653,133934,101373,4878,11935,23035,61525,32561,10858,1237,2578,3674,3369,21703,2420,4562,8449,6272,MN-05
210445,13567,6653,2174,1733,1195,1551,6914,704,117,239,250,98,6210,1649,2051,1801,709,196878,161157,10838,26775,42372,81172,35721,11695,1793,3104,3733,3065,24026,2538,5380,8146,7962,TX-10
171701,26022,9224,3654,3031,1836,703,16798,2519,901,707,792,119,14279,5010,4520,4091,658,145679,99625,17760,25758,28706,27401,46054,14576,3254,4630,4357,2335,31478,5846,8973,10616,6043,TX-35
232335,13296,6763,1530,1401,1452,2380,6533,1096,429,313,186,168,5437,1150,1580,1978,729,219039,183335,9671,22067,45065,106532,35704,10740,1200,2480,3231,3829,24964,1762,3527,9924,9751,TX-22
169150,19422,6970,2296,2026,1696,952,12452,1619,619,443,509,48,10833,3161,3437,3764,471,149728,116065,13977,27941,36965,37182,33663,11189,2438,3952,3252,1547,22474,3147,6611,8742,3974,TX-19
178490,12437,7666,761,1204,3461,2240,4771,973,236,274,347,116,3798,357,1065,1799,577,166053,143955,4210,16292,49913,73540,22098,7353,634,1740,2965,2014,14745,903,2830,6141,4871,UT-03
178216,13635,6498,1070,1552,2379,1497,7137,1262,422,400,293,147,5875,1232,1798,2152,693,164581,137324,7871,24061,49304,56088,27257,10221,1670,3030,3579,1942,17036,1822,4378,6523,4313,UT-02
176465,20291,4268,784,1492,1400,592,16023,1736,615,565,466,90,14287,2735,4549,5969,1034,156174,106588,5176,22856,39678,38878,49586,12902,1706,4346,4461,2389,36684,3295,9151,15793,8445,VA-03
176091,17248,3549,921,1113,1050,465,13699,1447,522,457,388,80,12252,2926,4557,3940,829,158843,114807,6705,22877,36544,48681,44036,11194,1826,3670,3768,1930,32842,3457,9192,11862,8331,VA-04
