total,belowPovertyLevel,belowPovertyLevelMarried,belowPovertyLevelMarriedNoHighSchoolGrad,belowPovertyLevelMarriedHighSchoolGrad,belowPovertyLevelMarriedSomeCollege,belowPovertyLevelMarriedBachelorsOrHigher,belowPovertyLevelSingleParent,belowPovertyLevelSingleParentDad,belowPovertyLevelSingleParentDadNoHighSchoolGrad,belowPovertyLevelSingleParentDadHighSchoolGrad,belowPovertyLevelSingleParentDadSomeCollege,belowPovertyLevelSingleParentDadBachelorsOrHigher,belowPovertyLevelSingleParentMom,belowPovertyLevelSingleParentMomNoHighSchoolGrad,belowPovertyLevelSingleParentMomHighSchoolGrad,belowPovertyLevelSingleParentMomSomeCollege,belowPovertyLevelSingleParentMomBachelorsOrHigher,atOrAbovePovertyLevel,atOrAbovePovertyLevelMarried,atOrAbovePovertyLevelMarriedNoHighSchoolGrad,atOrAbovePovertyLevelMarriedHighSchoolGrad,atOrAbovePovertyLevelMarriedSomeCollege,atOrAbovePovertyLevelMarriedBachelorsOrHigher,atOrAbovePovertyLevelSingleParent,atOrAbovePovertyLevelSingleParentDad,atOrAbovePovertyLevelSingleParentDadNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadSomeCollege,atOrAbovePovertyLevelSingleParentDadBachelorsOrHigher,atOrAbovePovertyLevelSingleParentMom,atOrAbovePovertyLevelSingleParentMomNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomSomeCollege,atOrAbovePovertyLevelSingleParentMomBachelorsOrHigher,stateId
192503,10768,4541,1049,1717,1063,712,6227,1354,232,763,335,24,4873,929,1601,1936,407,181735,150138,8071,33937,40574,67556,31597,9812,1113,3091,3140,2468,21785,1516,6310,7495,6464,OH-14
173297,28541,7451,2257,2602,1848,744,21090,3347,779,1424,802,342,17743,4104,6130,6361,1148,144756,92372,5714,22349,27430,36879,52384,15446,2122,5101,4897,3326,36938,3317,10601,14885,8135,OH-03
183744,21013,5309,850,1462,2199,798,15704,2481,609,700,1027,145,13223,2601,4491,5572,559,162731,122433,5573,25944,38818,52098,40298,11807,1157,3835,4292,2523,28491,2478,7204,11807,7002,OH-10
191846,11826,4097,747,1532,1192,626,7729,1327,160,679,372,116,6402,1031,2549,2507,315,180020,146024,5968,42611,47107,50338,33996,12814,1160,5445,4313,1896,21182,1486,6512,8516,4668,OH-05
176027,22955,6063,990,2722,1467,884,16892,2525,545,1213,686,81,14367,2324,5508,5977,558,153072,111467,6538,35915,33785,35229,41605,12966,1392,5417,4101,2056,28639,2409,10186,10275,5769,OH-13
190771,15157,5441,1325,1960,1376,780,9716,1890,424,996,319,151,7826,1408,3165,2824,429,175614,141954,6264,38244,39265,58181,33660,11978,1361,4329,3767,2521,21682,1337,6666,7091,6588,OH-15
170776,26852,6321,1810,1855,1963,693,20531,3464,1149,1385,719,211,17067,4108,5414,6591,954,143924,98565,7440,26990,32589,31546,45359,13854,1594,4976,4857,2427,31505,3409,9591,12997,5508,OH-09
201586,11988,4388,630,1669,1362,727,7600,1141,167,475,394,105,6459,937,2383,2627,512,189598,157758,4834,30012,38878,84034,31840,9732,920,2679,2982,3151,22108,1604,5822,7505,7177,OH-12
194093,28274,11440,3059,4506,3091,784,16834,3448,1025,1492,822,109,13386,2940,4871,4809,766,165819,130514,11751,41970,45389,31404,35305,12503,1744,5568,3845,1346,22802,2434,7500,8559,4309,OK-02
189793,19714,7517,1835,2799,2121,762,12197,2357,659,924,607,167,9840,1902,3924,3495,519,170079,138538,10555,39694,45327,42962,31541,11551,1502,4778,3695,1576,19990,2133,6560,7303,3994,OK-03
195645,17043,5924,1289,2165,1787,683,11119,2105,297,943,671,194,9014,1305,3430,3613,666,178602,140480,8685,35447,49208,47140,38122,13370,1387,4711,4678,2594,24752,2034,7024,9556,6138,OK-04
208252,12444,5490,1501,1262,1381,1346,6954,1101,214,280,433,174,5853,1456,1720,2024,653,195808,161011,7388,21587,49615,82421,34797,11629,1267,2409,4231,3722,23168,1727,3816,10202,7423,OR-01
206158,15921,6380,1954,1736,1804,886,9541,1965,433,460,839,233,7576,1536,2374,3072,594,190237,153025,9760,26520,53618,63127,37212,12308,1448,3570,4874,2416,24904,2334,6162,10748,5660,OR-05
212977,21782,8945,1566,3018,3187,1174,12837,2365,475,773,939,178,10472,2265,3245,4223,739,191195,154180,11233,33406,58077,51464,37015,13049,1773,4531,4800,1945,23966,1766,6055,11122,5023,OR-02
128450,8967,2924,611,1060,786,467,6043,931,286,388,173,84,5112,1079,1819,1762,452,119483,93365,4997,20512,26920,40936,26118,7939,593,2643,2842,1861,18179,1355,5138,7024,4662,RI-02
199432,13342,4802,809,1498,1464,1031,8540,1255,202,666,312,75,7285,1215,2342,3035,693,186090,151687,4974,24665,44928,77120,34403,9517,1114,2660,2978,2765,24886,1832,5993,10177,6884,SC-01
183726,16354,5036,1531,1508,1157,840,11318,1839,675,720,308,136,9479,2626,3143,3211,499,167372,131328,8521,25482,39464,57861,36044,10420,1651,3204,3365,2200,25624,2751,6547,10926,5400,SC-04
184982,19601,6134,1412,2560,1380,782,13467,2275,810,913,499,53,11192,2087,4187,4239,679,165381,127035,9177,31149,43229,43480,38346,10350,1741,3951,3498,1160,27996,3040,8231,11226,5499,SC-05
184760,17460,5765,1682,1818,1421,844,11695,1810,590,633,477,110,9885,2091,3327,3482,985,167300,129830,6448,25849,40222,57311,37470,9858,994,3293,2973,2598,27612,2223,6545,10026,8818,SC-02
218407,17672,5817,1110,2072,1953,682,11855,2315,393,1062,783,77,9540,1926,3272,3715,627,200735,165445,6789,41792,55239,61625,35290,12757,1377,4683,4400,2297,22533,1757,5681,9452,5643,SD-00
191466,24553,9547,2964,3760,2136,687,15006,3313,1036,1468,676,133,11693,2757,5139,3456,341,166913,133631,12691,42091,40943,37906,33282,11366,1867,4878,3268,1353,21916,2921,7592,7218,4185,TN-01
177463,19062,6466,2139,2073,1156,1098,12596,1614,358,804,287,165,10982,2459,4296,3447,780,158401,116300,8454,22184,28445,57217,42101,11611,1865,3867,2998,2881,30490,2691,7122,12319,8358,TN-05
202114,18319,6934,1635,2649,1644,1006,11385,1894,414,816,606,58,9491,1549,3611,3386,945,183795,152691,8775,36892,44759,62265,31104,9380,1201,3528,2685,1966,21724,2275,6363,6987,6099,TN-07
193023,18556,7499,1576,3064,1925,934,11057,1997,636,685,534,142,9060,1888,3648,2966,558,174467,141640,8692,33757,40968,58223,32827,10533,1312,3961,3291,1969,22294,2387,6760,8144,5003,TN-02
153857,29485,5422,1359,2003,1340,720,24063,3318,1151,1314,561,292,20745,5134,7557,7042,1012,124372,72028,6384,16795,21674,27175,52344,11030,1249,3909,4039,1833,41314,4230,11287,16018,9779,TN-09
168474,33325,14570,7592,4360,2004,614,18755,2855,1136,994,512,213,15900,7219,4421,3615,645,135149,99263,19740,24133,28535,26855,35886,10484,2429,2900,3555,1600,25402,6168,6105,7363,5766,TX-28
177067,23021,8463,3051,2204,2480,728,14558,2386,725,931,517,213,12172,2913,4163,4632,464,154046,121541,14593,27501,43401,36046,32505,9688,1643,3319,3396,1330,22817,2793,6019,9557,4448,TX-01
194103,17587,8243,2669,1617,1620,2337,9344,2070,682,468,540,380,7274,2343,2013,1783,1135,176516,138125,9693,14628,28547,85257,38391,10753,1969,2337,3082,3365,27638,2581,5142,9783,10132,TX-07
196507,14631,5569,1373,1503,1612,1081,9062,1281,388,355,338,200,7781,1671,2582,2906,622,181876,138506,11613,25622,47339,53932,43370,13272,1650,3475,4937,3210,30098,2617,6363,13093,8025,TX-06
176099,20285,6541,2314,1658,1357,1212,13744,2027,553,603,659,212,11717,2753,4096,4229,639,155814,120073,11355,23361,36860,48497,35741,11110,1845,3334,3915,2016,24631,3008,6325,9174,6124,TX-17
187108,19247,7180,2663,2589,1358,570,12067,2080,516,663,792,109,9987,2604,3704,3049,630,167861,130816,13730,36313,47286,33487,37045,13663,2141,5447,4567,1508,23382,3171,6861,9462,3888,TX-36
148652,10177,4384,631,1329,1722,702,5793,1160,328,292,384,156,4633,657,1573,2063,340,138475,114969,4623,27850,43435,39061,23506,9547,773,3556,3446,1772,13959,1024,3388,6564,2983,WY-00
186819,14495,4872,970,2090,1214,598,9623,1947,481,714,680,72,7676,1426,3320,2463,467,172324,140639,4901,45228,38418,52092,31685,10330,916,4557,2940,1917,21355,1570,7968,6897,4920,PA-14
186207,12030,3934,1309,1084,775,766,8096,1242,359,500,304,79,6854,2060,1986,2081,727,174177,141061,7325,23580,27199,82957,33116,9890,1362,3481,2411,2636,23226,2497,6622,6644,7463,PA-06
176309,14193,5692,1313,2470,1160,749,8501,1735,369,854,399,113,6766,1137,3389,1770,470,162116,133663,10252,50137,33724,39550,28453,11229,1153,5498,2789,1789,17224,1217,6609,6008,3390,PA-12
207617,6870,3040,406,894,627,1113,3830,622,118,210,221,73,3208,381,694,1387,746,200747,168780,3817,21051,40026,103886,31967,9447,828,2260,2792,3567,22520,1263,3873,8097,9287,MO-02
166316,23358,4836,1104,1383,1662,687,18522,2317,596,864,678,179,16205,3096,5296,6583,1230,142958,86803,4550,15550,26365,40338,56155,12132,1166,3881,4504,2581,44023,4135,11590,18584,9714,MO-01
182265,20546,5460,1158,1930,1453,919,15086,2254,591,1023,539,101,12832,2877,4673,4445,837,161719,117177,6810,28770,36380,45217,44542,12931,1506,4729,4497,2199,31611,2802,8865,13234,6710,MO-05
161032,11072,4201,921,1224,1364,692,6871,1063,283,206,440,134,5808,674,1733,2827,574,149960,124244,5703,25098,43191,50252,25716,9534,962,2732,3772,2068,16182,1256,4063,6993,3870,NE-01
163680,11655,3728,1219,997,848,664,7927,1422,299,531,469,123,6505,1406,1752,2774,573,152025,120482,5816,17224,33965,63477,31543,9936,1250,2656,3459,2571,21607,1673,4387,8085,7462,NE-02
176236,17502,6097,1636,1802,1928,731,11405,1845,672,655,410,108,9560,2310,3059,3534,657,158734,117154,11558,27849,45028,32719,41580,13998,2046,4973,4542,2437,27582,3420,7498,10951,5713,NV-04
177059,8404,2712,408,677,985,642,5692,1127,312,305,292,218,4565,707,1507,1592,759,168655,136815,4876,27726,39946,64267,31840,11568,981,3756,3741,3090,20272,1467,4849,7534,6422,NH-01
194089,8521,3128,506,1201,842,579,5393,753,30,395,255,73,4640,434,1558,1946,702,185568,146606,5774,35065,41193,64574,38962,11515,889,4037,3806,2783,27447,1607,8027,9792,8021,NJ-03
185592,10299,6012,798,1554,1896,1764,4287,871,167,336,205,163,3416,831,1134,1008,443,175293,145482,6455,27517,36315,75195,29811,8816,1051,2548,2693,2524,20995,1326,5813,6908,6948,NJ-04
180038,15177,4863,1290,1827,911,835,10314,1702,595,435,640,32,8612,2270,2991,2798,553,164861,125838,8128,34762,35483,47465,39023,11979,2001,4365,3466,2147,27044,2573,9196,8754,6521,NJ-02
193344,5151,2717,238,720,676,1083,2434,370,100,124,66,80,2064,294,639,711,420,188193,159178,4090,21896,27711,105481,29015,8535,580,2256,1957,3742,20480,1174,4861,5573,8872,NJ-11
177305,22727,7745,2774,2714,1156,1101,14982,2699,1030,941,505,223,12283,3402,5275,2543,1063,154578,103348,16657,24656,18689,43346,51230,17301,3953,5489,4006,3853,33929,5637,10903,9627,7762,NJ-08
165674,28065,11477,4773,2932,2928,844,16588,3316,977,1138,1123,78,13272,4135,3784,4823,530,137609,104665,13586,25647,35539,29893,32944,11149,1756,3638,3916,1839,21795,3589,5456,8117,4633,NM-02
168466,12045,2701,732,837,514,618,9344,1706,561,400,470,275,7638,1754,2398,2772,714,156421,120123,4679,20926,33642,60876,36298,10471,1092,2506,3582,3291,25827,1587,6700,9977,7563,NY-20
179315,15981,5800,1205,2502,1642,451,10181,2326,703,922,630,71,7855,1270,3367,2641,577,163334,129120,7663,37770,41849,41838,34214,12379,1336,5671,3440,1932,21835,1578,6618,8575,5064,NY-21
177695,7772,2768,833,760,463,712,5004,921,423,205,215,78,4083,1337,1539,815,392,169923,134286,9089,23361,30780,71056,35637,9695,1574,2515,2705,2901,25942,2410,6710,7005,9817,NY-04
171191,16887,5610,1470,1889,1490,761,11277,2035,632,790,529,84,9242,2146,3564,2968,564,154304,120738,6802,32724,40383,40829,33566,11792,1330,4550,3976,1936,21774,1803,6352,8433,5186,NY-22
172408,14024,5724,1225,2093,1464,942,8300,2059,687,723,469,180,6241,1160,2497,2003,581,158384,126353,7065,32476,37601,49211,32031,11642,1483,4662,3425,2072,20389,1564,5838,7671,5316,NY-19
190414,10438,3940,593,1459,1210,678,6498,1316,299,633,345,39,5182,701,1956,2125,400,179976,147343,4736,36299,46224,60084,32633,10626,1004,3739,3522,2361,22007,1269,5420,8841,6477,NY-27
154692,18456,8032,3334,2166,1307,1225,10424,2151,709,905,474,63,8273,2939,2675,1966,693,136236,88410,15371,25356,18974,28709,47826,16587,3648,5062,4389,3488,31239,5361,8683,9227,7968,NY-14
174499,16767,4772,1208,1596,1219,749,11995,2056,607,731,582,136,9939,2359,3236,3577,767,157732,121729,5891,27864,37446,50528,36003,11177,1061,3686,4070,2360,24826,2254,6867,9402,6303,NY-24
199544,22881,7401,2025,2113,2171,1092,15480,2382,604,971,696,111,13098,2693,3667,5787,951,176663,134938,10059,30694,41734,52451,41725,12748,2033,3961,4019,2735,28977,3026,7360,11699,6892,NC-13
200786,22024,6602,1958,2028,1705,911,15422,2749,988,936,659,166,12673,2872,4444,4525,832,178762,144402,9321,25308,40627,69146,34360,9434,1862,2715,3052,1805,24926,2613,5974,9579,6760,NC-09
189400,11700,4157,793,1216,1354,794,7543,1552,303,574,598,77,5991,651,2231,2606,503,177700,147750,6401,30844,54549,55956,29950,11791,1265,3853,4828,1845,18159,1386,4464,7382,4927,ND-00
188289,17983,5275,1192,2061,1324,698,12708,2029,436,965,491,137,10679,2100,4077,4008,494,170306,134126,8078,33115,36285,56648,36180,11565,1369,4230,3492,2474,24615,2315,7190,8494,6616,OH-02
182699,20404,7559,1834,3275,1935,515,12845,2813,916,1300,548,49,10032,1756,4365,3577,334,162295,131925,8819,51059,42235,29812,30370,11290,1112,5863,2808,1507,19080,1673,7299,6774,3334,OH-06
185662,16663,4998,1080,2113,1434,371,11665,1777,398,838,488,53,9888,1623,3907,4091,267,168999,134258,6680,48268,44774,34536,34741,12172,1024,5658,4074,1416,22569,2106,8317,9077,3069,OH-04
192797,9024,3596,744,1211,923,718,5428,1172,102,625,342,103,4256,342,2019,1404,491,183773,152567,5966,37011,44295,65295,31206,11097,689,3640,3938,2830,20109,1051,5757,7227,6074,OH-16
158715,31067,5339,1243,1893,1377,826,25728,3468,899,1518,835,216,22260,5213,7636,8504,907,127648,77691,4685,16334,21668,35004,49957,10608,1204,3740,3627,2037,39349,4137,10239,17301,7672,OH-11
187554,14860,4696,1001,1764,1357,574,10164,1448,416,590,365,77,8716,1557,3354,3246,559,172694,137636,7373,42083,41523,46657,35058,12432,1639,5447,3556,1790,22626,2155,7459,8888,4124,OH-08
201831,21523,7579,1936,2272,2275,1096,13944,2149,767,805,447,130,11795,2710,4096,4146,843,180308,139220,8602,27949,45572,57097,41088,13614,1951,4027,4574,3062,27474,2462,7344,11123,6545,OK-01
194232,23870,7622,2427,2715,1691,789,16248,2480,856,828,623,173,13768,3520,4507,4786,955,170362,127945,11242,24387,36914,55402,42417,13735,2101,4186,4509,2939,28682,2991,7516,11125,7050,OK-05
188824,16040,6514,2553,1329,1376,1256,9526,1416,187,409,643,177,8110,2201,2140,2897,872,172784,135246,7550,18047,39642,70007,37538,12374,1375,2857,4447,3695,25164,2107,5136,9604,8317,OR-03
200555,19697,8060,1165,2219,3302,1374,11637,2353,427,704,1029,193,9284,1335,3188,3840,921,180858,144490,8134,28285,57947,50124,36368,13102,1386,4025,5713,1978,23266,2091,5233,10707,5235,OR-04
126439,12905,3602,1168,1079,657,698,9303,1289,448,457,224,160,8014,1939,2844,2508,723,113534,83033,6970,18126,19045,38892,30501,8670,1443,3019,2246,1962,21831,2649,6217,7515,5450,RI-01
179560,20762,6704,2155,2255,1616,678,14058,1797,606,612,509,70,12261,2864,4816,4132,449,158798,123394,10262,31202,41521,40409,35404,11413,2628,4049,3233,1503,23991,3355,7364,9485,3787,SC-03
183353,24410,8007,2468,2601,2176,762,16403,2471,1001,840,435,195,13932,3264,4987,4872,809,158943,120858,9798,33116,41277,36667,38085,9776,1897,3805,2824,1250,28309,3377,9558,9939,5435,SC-07
145818,26132,6702,1742,2483,1809,668,19430,2026,634,879,384,129,17404,3945,6542,6073,844,119686,78997,7739,22318,25204,23736,40689,8711,1548,3515,2382,1266,31978,3972,9724,12406,5876,SC-06
201512,19933,7508,2187,2527,1909,885,12425,2612,1052,910,537,113,9813,2789,3874,2612,538,181579,143789,11038,40908,45694,46149,37790,12748,1681,5084,3799,2184,25042,2983,7549,9141,5369,TN-04
191571,19356,6249,1679,2462,1477,631,13107,2142,595,1040,445,62,10965,2173,4474,3774,544,172215,139234,8796,34121,39727,56590,32981,9982,1320,3956,2886,1820,22999,2406,7217,7655,5721,TN-08
209195,19342,8219,1912,3599,1850,858,11123,2282,786,1050,312,134,8841,1773,3378,2931,759,189853,154844,12670,46170,47411,48593,35009,12111,1899,5168,3100,1944,22898,2697,7428,8156,4617,TN-06
165713,34952,13123,7631,3216,1808,468,21829,3391,1813,917,559,102,18438,8849,5816,3215,558,130761,89298,31065,24936,22116,11181,41463,15973,6294,5055,3509,1115,25490,7109,6663,8750,2968,TX-29
181549,22308,7660,2522,2161,2261,716,14648,2180,822,646,625,87,12468,3722,4184,4132,430,159241,120739,14715,30927,41741,33356,38502,12881,2668,4379,4070,1764,25621,4827,7324,9585,3885,TX-27
184481,19729,7181,2049,2415,1725,992,12548,1367,429,418,497,23,11181,2415,4256,3758,752,164752,126566,11005,28226,44282,43053,38186,11376,1839,3781,4186,1570,26810,2942,7286,10435,6147,TX-14
180324,20724,8868,3881,2290,1787,910,11856,2288,725,915,513,135,9568,2565,3646,3070,287,159600,119793,18090,29605,38803,33295,39807,12961,3339,4315,3681,1626,26846,3844,7872,10597,4533,TX-05
193952,19307,8652,3109,2935,1962,646,10655,1908,1057,396,386,69,8747,3069,2587,2657,434,174645,143916,15498,38118,43430,46870,30729,10337,2262,3887,2954,1234,20392,3532,5657,7243,3960,GA-09
189871,8800,4552,1006,878,681,1987,4248,1070,506,158,207,199,3178,833,627,654,1064,181071,151121,4026,9750,22826,114519,29950,9537,1341,1710,1823,4663,20413,1459,2760,5725,10469,GA-06
183436,23135,7220,1946,2065,2390,819,15915,1666,482,664,355,165,14249,2940,4393,5948,968,160301,120383,7623,30643,40580,41537,39918,10832,1442,4187,3458,1745,29086,2987,8503,11492,6104,GA-01
174823,27260,8979,2495,3563,2187,734,18281,2893,1149,899,630,215,15388,3338,5950,5176,924,147563,112415,8586,29102,38617,36110,35148,9563,1287,3918,2769,1589,25585,3353,7790,9039,5403,GA-08
200950,20167,10284,1345,2625,4612,1702,9883,1693,333,583,678,99,8190,1545,2585,3195,865,180783,151145,9664,30284,54635,56562,29638,10753,1569,3399,3752,2033,18885,1879,4706,7828,4472,ID-02
162941,21370,4108,804,1373,1278,653,17262,2192,386,655,895,256,15070,2902,4614,6317,1237,141571,90343,5509,18323,30623,35888,51228,11966,1548,3404,4540,2474,39262,3087,8116,16540,11519,IL-01
149109,24333,5204,1590,1433,1198,983,19129,2692,719,1090,602,281,16437,3893,5564,6103,877,124776,79804,6153,11113,13488,49050,44972,10312,1571,3394,2512,2835,34660,4561,8627,12855,8617,IL-07
162797,8947,4152,1042,1368,694,1048,4795,872,265,245,208,154,3923,797,1292,1103,731,153850,124758,6936,17460,24528,75834,29092,9974,1171,2269,2842,3692,19118,1968,4244,5118,7788,IL-05
162709,17439,4830,808,1603,1336,1083,12609,2343,407,976,634,326,10266,1927,3733,3936,670,145270,114815,4466,27585,36842,45922,30455,9564,943,3521,3198,1902,20891,1537,5931,8366,5057,IL-13
192662,6761,3176,673,713,614,1176,3585,520,51,107,225,137,3065,417,808,1310,530,185901,159982,4214,17314,36318,102136,25919,8231,778,1297,2865,3291,17688,764,3094,6011,7819,IL-06
180467,11835,5337,1485,1587,1138,1127,6498,1038,319,343,185,191,5460,1578,1599,1694,589,168632,138157,10471,19172,30244,78270,30475,9525,1413,2920,2491,2701,20950,2204,4572,6701,7473,IL-10
169540,12088,6653,1598,1883,1085,2087,5435,1063,255,265,264,279,4372,1161,1054,1231,926,157452,130312,5946,14202,23860,86304,27140,8865,1142,1884,2146,3693,18275,1707,3389,4877,8302,IL-09
173912,20207,5213,993,1994,1708,518,14994,2426,605,981,737,103,12568,1901,4597,5526,544,153705,117117,5549,27542,44710,39316,36588,11676,983,4274,4544,1875,24912,1989,5890,11921,5112,IL-12
187424,15287,5979,1502,1902,1520,1055,9308,1518,314,593,589,22,7790,2031,2763,2598,398,172137,138288,7568,39740,43595,47385,33849,12320,1345,4782,3981,2212,21529,2094,6075,8177,5183,IN-09
185653,18005,6297,1468,2608,1693,528,11708,2056,591,886,494,85,9652,1857,3761,3652,382,167648,135648,8671,41747,45772,39458,32000,10863,1257,4737,3691,1178,21137,1986,7026,7889,4236,IN-08
200913,12923,5095,739,1561,1524,1271,7828,1112,283,481,271,77,6716,1267,2303,2584,562,187990,155008,4657,25293,35126,89932,32982,10035,713,2923,2638,3761,22947,1165,5230,7862,8690,IN-05
159312,23762,6478,2372,2230,1266,610,17284,2670,892,1059,510,209,14614,4285,4487,4986,856,135550,90081,9762,23062,26556,30701,45469,12621,2211,4328,4127,1955,32848,4176,9569,12951,6152,IN-07
188769,21400,9121,2718,3263,2236,904,12279,2459,985,975,468,31,9820,2570,3464,3246,540,167369,133074,9598,36229,42712,44535,34295,10781,1775,4132,3018,1856,23514,2790,7648,8720,4356,TN-03
196341,15971,5769,941,2022,1761,1045,10202,1883,354,911,524,94,8319,1119,3270,3397,533,180370,148449,7738,39306,47774,53631,31921,11356,861,4392,4267,1836,20565,1272,5660,8739,4894,IA-02
174202,14128,5805,1472,1833,1846,654,8323,1600,520,510,499,71,6723,1165,2152,2797,609,160074,134349,10973,31128,49842,42406,25725,9798,1683,3448,3205,1462,15927,1638,3722,7269,3298,KS-01
178189,14958,5459,749,2117,1865,728,9499,2020,415,698,680,227,7479,1135,2363,3510,471,163231,133908,5890,33001,44372,50645,29323,10345,923,3570,3763,2089,18978,1293,4702,7784,5199,KS-02
192745,22950,7730,2359,2515,1755,1101,15220,2611,1223,730,546,112,12609,2700,3986,4951,972,169795,131832,8743,29858,36811,56420,37963,11851,1798,3768,3548,2737,26112,2505,6932,9974,6701,KY-06
185009,41154,19479,6700,7540,4382,857,21675,4623,2260,1772,497,94,17052,4770,5880,5778,624,143855,116528,17229,42176,33084,24039,27327,9167,1893,3643,2508,1123,18160,3793,5822,5632,2913,KY-05
182535,30743,8848,2118,3633,2410,687,21895,3906,1597,1632,547,130,17989,4730,6899,5619,741,151792,114497,7803,36491,38123,32080,37295,10888,1803,4546,3261,1278,26407,3154,9080,9324,4849,LA-04
199673,21604,6687,2021,2072,1632,962,14917,2445,956,798,492,199,12472,3091,4020,4422,939,178069,139300,9245,33145,38910,58000,38769,10998,1603,3900,2996,2499,27771,2506,8504,9639,7122,LA-01
176576,33325,8965,2992,3236,2166,571,24360,3445,1034,1611,566,234,20915,5411,8870,5847,787,143251,105106,10162,36483,30085,28376,38145,10709,1626,4637,2747,1699,27436,3498,9299,9344,5295,LA-05
240038,18981,6470,1643,2106,1747,974,12511,1902,516,805,389,192,10609,2122,4540,3351,596,221057,170168,9956,39777,48062,72373,50889,15011,1998,5270,4110,3633,35878,2578,11959,11590,9751,DE-00
177047,21172,7172,1559,2235,1798,1580,14000,2178,667,700,468,343,11822,2541,4493,3445,1343,155875,112045,6519,19750,28956,56820,43830,13283,1474,4308,3512,3989,30547,3160,8678,10179,8530,FL-14
208498,15204,7172,1862,2167,1832,1311,8032,1504,474,548,366,116,6528,1719,2283,1863,663,193294,158394,9070,32038,46443,70843,34900,10039,1335,3269,2960,2475,24861,2644,6964,8589,6664,FL-16
189700,18909,7790,1944,2711,1736,1399,11119,1943,385,770,557,231,9176,2061,3181,3046,888,170791,129238,9985,32468,43340,43445,41553,12931,1784,4153,4364,2630,28622,2444,7662,11333,7183,FL-15
199011,15785,7483,1045,2670,2322,1446,8302,1691,349,688,583,71,6611,1115,2670,2149,677,183226,144438,7079,33391,49023,54945,38788,10887,1107,3341,3710,2729,27901,2154,7272,11169,7306,FL-12
177214,19151,7772,1630,2736,2632,774,11379,2245,820,850,531,44,9134,2320,3664,2769,381,158063,125319,7234,32886,41563,43636,32744,10391,1428,3764,3446,1753,22353,2243,6050,8999,5061,FL-02
184302,14639,7355,2323,1596,1376,2060,7284,1900,638,581,460,221,5384,1607,1646,1522,609,169663,132024,9105,23516,36651,62752,37639,11784,1934,3255,3530,3065,25855,3046,5768,8902,8139,FL-21
190948,13637,4157,1234,1186,1010,727,9480,1362,298,669,231,164,8118,2220,3170,2223,505,177311,134930,7364,24585,31365,71616,42381,12301,1307,4913,3292,2789,30080,4001,7779,10914,7386,MA-03
185469,14358,5271,923,2027,1725,596,9087,1860,409,716,568,167,7227,1365,2429,2942,491,171111,138191,5997,34075,51554,46565,32920,11771,1229,4298,4400,1844,21149,1448,6096,8699,4906,MI-07
184670,17568,5813,1537,1867,1636,773,11755,2261,733,610,765,153,9494,2121,3264,3532,577,167102,134053,6808,30870,46405,49970,33049,11166,1451,3790,4037,1888,21883,1852,5829,9380,4822,MI-06
195031,13035,5445,1097,1780,1829,739,7590,1547,424,653,392,78,6043,959,2128,2614,342,181996,149723,7825,37935,57557,46406,32273,10832,1128,3994,4022,1688,21441,1461,6741,8729,4510,MI-10
148643,36347,8146,2181,2499,2456,1010,28201,4935,1230,2027,1382,296,23266,6576,7993,7799,898,112296,62356,6696,17655,23302,14703,49940,12224,1950,4443,4457,1374,37716,4530,11398,16401,5387,MI-13
195810,7873,3477,469,856,994,1158,4396,624,48,213,257,106,3772,439,1207,1547,579,187937,158967,4365,19404,41335,93863,28970,9742,684,2082,3050,3926,19228,1039,3819,7301,7069,MI-11
184451,11085,3848,460,966,1262,1160,7237,1326,185,487,509,145,5911,938,1853,2278,842,173366,143043,4226,22342,42187,74288,30323,10406,714,2544,4180,2968,19917,1183,4198,8193,6343,MI-08
185724,7372,2868,414,742,1076,636,4504,749,147,282,237,83,3755,478,1470,1397,410,178352,146603,3931,23111,46541,73020,31749,10362,928,2595,3687,3152,21387,1051,4796,9311,6229,MN-02
174620,10909,3979,961,1327,1047,644,6930,1202,312,444,366,80,5728,1302,1586,2429,411,163711,135677,6005,31623,46510,51539,28034,11347,1323,3984,4304,1736,16687,1301,4411,7229,3746,MN-01
166363,12956,4365,1858,849,900,758,8591,1566,346,590,437,193,7025,1836,1986,2610,593,153407,119929,4905,15378,29412,70234,33478,10905,898,3039,3576,3392,22573,1826,4844,9341,6562,MN-04
