Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
1363,0,2998,740,1912,94,4032,127,5154,875,1647,365,1483,490,2237,174,332,95,GA-11
277,0,2094,981,602,120,1610,229,1712,68,1590,173,807,40,851,10,649,0,GA-08
1243,0,2272,155,1786,37,1726,1088,2330,0,1572,287,892,254,486,0,181,0,ID-02
16414,268,37675,1644,22574,2793,34600,2702,41754,1795,49848,1375,49986,1799,47941,282,46965,48,HI-01
1235,0,1398,0,3176,378,2758,357,2346,578,2287,0,1949,0,1573,0,469,0,IL-01
3056,0,4781,52,6062,553,13252,1133,11848,123,4354,374,3532,81,3212,0,4286,50,IL-07
,,,,,,,,,,,,,,,,,,IL-02
2315,0,6382,254,4538,256,8893,837,8168,1115,6110,445,4391,937,4386,60,2522,0,IL-05
1142,0,3028,61,9997,559,4719,208,2633,0,2026,61,2212,40,907,0,274,0,IL-13
3821,0,11357,411,4103,531,7850,720,11266,126,9544,540,6931,1078,5812,63,2994,50,IL-06
4751,0,11306,702,3618,452,10809,430,12871,746,10591,718,6956,1546,6416,95,3869,0,IL-10
1541,138,2563,75,2048,277,6355,1227,4580,430,2918,755,2337,732,2851,35,1034,0,IL-04
8018,454,12943,653,9327,1736,13500,2344,14914,1386,11801,1632,9032,942,8740,1245,6681,79,IL-09
,,,,,,,,,,,,,,,,,,IL-12
6704,0,13254,458,6001,552,13777,1692,14525,1191,11800,858,11439,657,9290,251,4593,68,IL-08
,,,,,,,,,,,,,,,,,,IN-09
,,,,,,,,,,,,,,,,,,IN-08
357,0,1463,156,977,96,1802,392,1317,165,1307,485,1052,257,1046,0,75,0,IN-01
1744,0,7005,397,2598,0,2566,384,5539,246,4172,182,2462,21,1777,0,1150,0,IN-05
2988,0,6722,103,4010,194,5039,871,6069,523,2958,156,1169,220,1028,0,565,0,IN-07
,,,,,,,,,,,,,,,,,,IA-01
601,61,2692,0,3598,254,2707,270,2477,95,2938,212,1985,175,961,81,373,0,IA-02
531,0,2384,12,1414,104,1152,296,1431,536,799,0,504,199,604,0,300,0,KS-01
2859,0,6871,308,2893,166,8451,558,6297,710,4788,378,3026,43,1548,163,791,0,KS-03
,,,,,,,,,,,,,,,,,,KS-02
1106,0,2816,142,1753,0,2312,327,3272,0,1819,73,872,173,507,68,521,0,KY-06
,,,,,,,,,,,,,,,,,,KY-01
,,,,,,,,,,,,,,,,,,KY-05
359,212,879,131,540,32,1079,197,594,291,807,448,715,266,329,378,84,0,LA-04
560,491,3268,853,1309,260,1669,559,2925,580,2281,556,2485,0,1893,0,327,0,LA-02
1444,0,2608,0,1547,274,2670,51,2592,219,1554,90,1796,204,1912,220,625,0,LA-01
,,,,,,,,,,,,,,,,,,LA-05
505,79,1008,121,1236,0,917,322,1290,319,1313,336,1288,0,1116,0,263,0,ME-01
,,,,,,,,,,,,,,,,,,ME-02
1410,0,3362,0,1903,0,1159,148,2071,116,2111,650,1422,51,1191,0,631,0,MD-01
3665,0,8954,125,5301,212,7057,760,9345,457,6958,222,6677,532,3541,281,3055,0,MD-03
1185,0,3067,0,1162,192,2388,246,4226,92,3848,92,2758,30,2088,39,1194,0,MD-04
1151,0,4171,151,4514,294,2803,557,3857,418,4099,526,3809,568,2751,155,1382,0,MD-05
3045,0,9652,260,4286,258,6740,507,9332,238,8362,519,4953,523,3222,0,2105,0,MD-07
2748,46,3831,312,3090,1093,5659,538,6641,389,4336,980,4638,224,3613,4,1449,0,MD-02
5458,0,15738,299,3248,531,9692,838,15217,588,14300,355,10841,965,6266,417,4770,108,MD-06
3237,60,8436,263,5844,417,8204,786,10118,789,9769,797,9096,484,8824,154,5986,76,MD-08
4306,0,9361,75,5428,42,6650,494,10579,135,7974,72,4846,115,2509,454,2072,0,MA-04
3384,0,8596,234,17100,590,19328,483,11527,276,8440,353,7159,408,5104,103,4496,171,MA-07
1709,0,8794,89,7025,453,6672,92,7162,79,6124,62,3162,251,2288,63,1195,0,MA-02
,,,,,,,,,,,,,,,,,,MA-09
4027,0,8730,0,4315,243,12146,235,10328,433,8764,0,7218,52,4440,0,1998,245,MA-08
1173,126,2756,0,1613,133,1953,211,2612,143,1828,13,1503,86,997,0,376,0,MA-01
7626,0,13102,99,12852,561,19546,149,17640,114,13013,539,9044,186,4768,209,3273,157,MA-05
,,,,,,,,,,,,,,,,,,MI-01
1205,0,3080,0,1785,149,2392,273,2165,122,1624,61,1893,0,1418,0,624,0,MI-02
2846,0,5704,133,3670,1428,7768,512,5573,328,4365,447,3349,607,1389,0,923,0,MI-14
1128,0,1916,351,1509,299,2251,353,3858,60,1653,324,1151,18,640,0,303,0,MI-03
,,,,,,,,,,,,,,,,,,MI-05
,,,,,,,,,,,,,,,,,,MI-13
2584,95,6527,55,4457,284,5668,652,6263,250,4099,350,3148,529,2122,69,1284,0,MI-09
2517,0,6268,516,5941,408,4740,401,6533,869,4160,131,2852,582,1493,100,633,0,MI-08
246,3,1375,45,677,69,557,167,1231,14,258,14,873,18,634,0,228,0,MN-07
2034,0,3267,70,1358,98,3107,371,3442,36,1747,30,1651,235,1149,0,372,0,MN-06
1223,0,3930,135,2685,74,3011,721,2667,90,2501,257,1662,68,1267,27,212,0,MN-01
5377,135,11319,197,4117,290,11316,862,12347,156,7228,1281,5318,541,2414,58,1476,0,MN-03
2655,50,6350,159,6110,616,9466,738,5358,525,3471,174,1351,263,1561,88,1509,146,MN-05
2130,0,4507,288,2304,119,4361,865,4012,524,3770,150,3230,582,491,0,1594,0,NC-13
1359,44,5231,130,1009,73,1286,32,5590,433,3258,341,1662,534,1419,0,579,0,NC-09
,,,,,,,,,,,,,,,,,,ND-00
787,75,1468,65,242,304,1622,189,1727,533,1440,25,613,0,605,0,181,0,OH-02
,,,,,,,,,,,,,,,,,,OH-06
,,,,,,,,,,,,,,,,,,OH-04
964,0,2288,58,1258,345,2437,80,3099,0,2469,128,1755,223,1454,66,1223,0,OH-16
881,0,1886,0,2855,224,3108,104,2812,0,1259,0,1471,0,1009,23,696,18,OH-11
,,,,,,,,,,,,,,,,,,OH-08
2282,26,5067,332,2683,274,4149,872,3536,645,2654,543,1837,303,1101,131,388,61,OK-01
1632,197,4101,155,2562,264,3502,384,4121,918,3423,365,2543,644,2022,133,566,0,OK-05
2458,0,8624,169,7084,632,8097,1334,9739,690,9932,539,6279,200,4696,0,2817,180,OR-03
862,83,2061,35,5611,339,1739,157,2752,124,1968,64,1536,0,1037,158,308,152,OR-04
878,0,1801,139,1952,337,4591,243,1922,435,844,59,1899,0,713,37,539,0,RI-01
,,,,,,,,,,,,,,,,,,SC-03
,,,,,,,,,,,,,,,,,,SC-07
,,,,,,,,,,,,,,,,,,SC-06
,,,,,,,,,,,,,,,,,,TN-03
1061,0,1357,0,1013,197,1049,398,1622,62,1076,0,623,402,547,334,388,0,AL-01
,,,,,,,,,,,,,,,,,,AL-03
,,,,,,,,,,,,,,,,,,AL-05
